method,eeg_snr_db,meg_snr_db,aggregation,case_count,scenario_count,auc,auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,deep_score,deep_peak_distance_mm,active_count,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized,deep_sensitivity,deep_specificity,deep_balanced_accuracy
LCMV,15,15,case_weighted,186,4,0.7769595372376373,0.7062713252248103,1.861654864270057,52.47525063925493,47.70770005231387,11.865583506592097,1.478544709172901,0.26064160910565043,0.5029611548141173,841.8817204301075,52.47525063925493,47.70770005231387,11.865583506592097,1.478544709172901,0.3983050847457627,0.9558823529411765,0.6770937188434696
LCMV,15,20,case_weighted,186,4,0.7801714688443605,0.7126247583222688,1.8218305362173293,51.906759426427584,49.15860877215301,9.479660572539487,1.0674367867146903,0.6128537531880734,0.5828427134693807,731.9301075268817,51.906759426427584,49.15860877215301,9.479660572539487,1.0674367867146903,0.8305084745762712,0.5588235294117647,0.694666001994018
LCMV,20,-10,case_weighted,186,4,0.7787863566049444,0.7142421292283744,1.8920597475561658,52.899644779671775,48.01175500136698,12.767818747142623,1.254501616475183,0.19378994972076435,1.161635202036041,744.3172043010753,52.899644779671775,48.01175500136698,12.767818747142623,1.254501616475183,0.3135593220338983,0.9705882352941176,0.6420737786640079
LCMV,20,-5,case_weighted,186,4,0.7781887585764747,0.709725945660378,1.888279915586651,52.54207246790336,47.44594163571439,12.613951639203735,1.289047428644012,0.20496675407357384,0.9571068029583584,736.4462365591398,52.54207246790336,47.44594163571439,12.613951639203735,1.289047428644012,0.3220338983050847,0.9558823529411765,0.6389581256231306
LCMV,20,0,case_weighted,186,4,0.7777755424799174,0.7079007784303671,1.8876114567210276,53.309257074300184,48.06096400882406,12.499952260667063,1.402523446781211,0.20072173274927088,0.8754394135595146,804.3010752688172,53.309257074300184,48.06096400882406,12.499952260667063,1.402523446781211,0.3220338983050847,0.9558823529411765,0.6389581256231306
LCMV,20,5,case_weighted,186,4,0.7791728463055076,0.7078723742155977,1.8787874031337333,52.7556118434507,48.44138319016641,11.871731995531727,0.8680204169226036,0.23120079475053076,0.5364919240060572,806.3010752688172,52.7556118434507,48.44138319016641,11.871731995531727,0.8680204169226036,0.3728813559322034,0.9411764705882353,0.6570289132602194
LCMV,20,10,case_weighted,186,4,0.781368356766511,0.707428053512861,1.863749677302688,52.549902819992134,48.76790746684755,10.86247120890027,1.089918725918153,0.2651610737786311,0.5656854231765176,840.0806451612904,52.549902819992134,48.76790746684755,10.86247120890027,1.089918725918153,0.4067796610169492,0.9411764705882353,0.6739780658025922
LCMV,20,15,case_weighted,186,4,0.779685707413864,0.7066668720420515,1.835213614347806,52.175440828933034,47.03541050562575,9.460131811831141,0.6407184743296696,0.42188347840821844,0.35481180450487576,803.752688172043,52.175440828933034,47.03541050562575,9.460131811831141,0.6407184743296696,0.6440677966101694,0.9117647058823529,0.7779162512462612
LCMV,20,20,case_weighted,186,4,0.7780946915151585,0.7061708926573377,1.792025953706846,51.94844791376488,49.25202927179063,7.547373959709139,0.47122694934744885,0.6831524588930385,0.21364722200540057,759.5752688172043,51.94844791376488,49.25202927179063,7.547373959709139,0.47122694934744885,0.9491525423728814,0.5294117647058824,0.7392821535393819
MNE,-10,-10,case_weighted,186,4,0.5860048464626265,0.7142597815391342,1.9510954138124752,73.19976406786775,71.867798525645,24.321672536389084,22.955889982530604,0.23512324316156108,22.95553382930533,771.3655913978495,73.19976406786775,71.867798525645,24.321672536389084,22.955889982530604,0.2033898305084746,0.029411764705882353,0.11640079760717847
MNE,-10,-5,case_weighted,186,4,0.6446172189009278,0.7702967042256811,1.9360478132563395,71.28906317864026,74.86430724975443,23.833201811824857,22.458150720192123,0.20431520512012447,20.851094145143406,283.2096774193548,71.28906317864026,74.86430724975443,23.833201811824857,22.458150720192123,0.2627118644067797,0.014705882352941176,0.13870887337986043
MNE,-10,0,case_weighted,186,4,0.7070295057827823,0.8314937923452086,1.9158848676913374,67.81683665974933,73.40696573038683,23.53121708774697,20.937715659646386,0.19629694917561757,20.208715367278103,178.8279569892473,67.81683665974933,73.40696573038683,23.53121708774697,20.937715659646386,0.288135593220339,0.04411764705882353,0.16612662013958127
MNE,-10,5,case_weighted,186,4,0.7711848139445727,0.8873039307667374,1.8857762750666072,58.99160318864842,56.96649317594406,22.929633836658006,20.009194464434334,0.2222509327633165,20.282401959951347,186.77956989247312,58.99160318864842,56.96649317594406,22.929633836658006,20.009194464434334,0.2966101694915254,0.058823529411764705,0.17771684945164506
MNE,-10,10,case_weighted,186,4,0.8133665479613373,0.9177894338666741,1.8449828097864571,40.031034841913076,36.7040774927526,22.006620348578547,18.630452988384906,0.2730157657663122,19.059843460777895,273.13978494623655,40.031034841913076,36.7040774927526,22.006620348578547,18.630452988384906,0.288135593220339,0.1323529411764706,0.21024426719840478
MNE,-10,15,case_weighted,186,4,0.8341912551149322,0.9302547144230873,1.8113973437757718,25.15399211672127,20.906562714574562,21.346789085616535,19.93059884624292,0.2942507145158306,19.89403617722409,348.8494623655914,25.15399211672127,20.906562714574562,21.346789085616535,19.93059884624292,0.2796610169491525,0.11764705882352941,0.19865403788634095
MNE,-10,20,case_weighted,186,4,0.8448931643901352,0.9335126140305501,1.794072001895709,21.432207014638067,17.15374583905073,21.028860544469705,19.221063908566833,0.2977565441146766,19.221063908566833,347.1182795698925,21.432207014638067,17.15374583905073,21.028860544469705,19.221063908566833,0.2796610169491525,0.08823529411764706,0.1839481555333998
MNE,-5,-10,case_weighted,186,4,0.6212814974646348,0.7468236672383214,1.9347662932762644,71.58138005265145,69.01609426467206,24.109576088605543,22.586152421843966,0.23698785437240166,22.073200342013692,1439.2096774193549,71.58138005265145,69.01609426467206,24.109576088605543,22.586152421843966,0.211864406779661,0.04411764705882353,0.12799102691924227
MNE,-5,-5,case_weighted,186,4,0.6811318525859681,0.8126318719948751,1.915611181673309,67.34525059918617,59.015513541775256,23.66911986764835,21.82808826096033,0.24550988469594665,20.52602852398301,702.2849462365591,67.34525059918617,59.015513541775256,23.66911986764835,21.82808826096033,0.2627118644067797,0.029411764705882353,0.14606181455633102
MNE,-5,0,case_weighted,186,4,0.7370159078725248,0.862132401369261,1.8933077745319526,61.57816624927655,56.73701509782233,23.233406305235537,20.871693989741086,0.22241617474497935,20.318260459212837,291.2204301075269,61.57816624927655,56.73701509782233,23.233406305235537,20.871693989741086,0.23728813559322035,0.029411764705882353,0.13334995014955134
MNE,-5,5,case_weighted,186,4,0.7807873701481896,0.8970975095344756,1.8659866395032414,53.296299977961816,51.04340478172422,22.880947578603916,18.945890816092042,0.2197612070467738,18.12462132462379,202.55913978494624,53.296299977961816,51.04340478172422,22.880947578603916,18.945890816092042,0.3813559322033898,0.10294117647058823,0.242148554336989
MNE,-5,10,case_weighted,186,4,0.8167211035051447,0.9220614649968792,1.8333603655419957,39.9732890754093,34.66365746267628,22.03656234467099,19.019885466601924,0.25120226140199076,19.438032977941443,234.1236559139785,39.9732890754093,34.66365746267628,22.03656234467099,19.019885466601924,0.2542372881355932,0.19117647058823528,0.22270687936191425
MNE,-5,15,case_weighted,186,4,0.8358262772514263,0.9313803613191847,1.8061232684079251,26.409392824082396,22.65850800227026,21.535383644516198,20.08118923911138,0.2849928411992674,19.990858600238617,307.5483870967742,26.409392824082396,22.65850800227026,21.535383644516198,20.08118923911138,0.2627118644067797,0.16176470588235295,0.21223828514456633
MNE,-5,20,case_weighted,186,4,0.8470025697017325,0.9334178903926913,1.7913178904794562,21.072213013602614,17.693822463635076,20.971554173413725,18.42763589942478,0.2931030888614761,18.02580052389602,312.6182795698925,21.072213013602614,17.693822463635076,20.971554173413725,18.42763589942478,0.3135593220338983,0.16176470588235295,0.23766201395812564
MNE,0,-10,case_weighted,186,4,0.6552136792983078,0.7850587211863309,1.9123810218400488,68.58694304615388,60.028222298973965,23.48993190706356,20.55836535955182,0.2022634329534123,20.018338741332027,1428.8763440860216,68.58694304615388,60.028222298973965,23.48993190706356,20.55836535955182,0.2796610169491525,0.14705882352941177,0.21335992023928213
MNE,0,-5,case_weighted,186,4,0.7164503869870819,0.8482631601585906,1.8895640303012997,61.69758674859817,39.44232712312633,23.305008712788865,21.77050308804978,0.2461413903474777,19.715946181413365,1136.1505376344087,61.69758674859817,39.44232712312633,23.305008712788865,21.77050308804978,0.2966101694915254,0.11764705882352941,0.20712861415752742
MNE,0,0,case_weighted,186,4,0.7713246885688002,0.8869140631679878,1.8652728247842658,50.651831016983465,39.70737075532616,22.776607348684617,18.914129582455747,0.2531249569990893,18.031919375695345,507.2043010752688,50.651831016983465,39.70737075532616,22.776607348684617,18.914129582455747,0.3305084745762712,0.11764705882352941,0.22407776669990032
MNE,0,5,case_weighted,186,4,0.8070403774442294,0.9119007302313163,1.8369055043352724,41.110134772531175,33.62201006246748,22.329184789557267,18.48079951784856,0.2421396704922865,18.220137445208884,258.14516129032256,41.110134772531175,33.62201006246748,22.329184789557267,18.48079951784856,0.3135593220338983,0.14705882352941177,0.23030907278165502
