metric,metric_label,direction,method,n_snr_pairs,mean,sd_across_snr_pairs,median,q25,q75,min,max,bootstrap_mean_ci_low,bootstrap_mean_ci_high
surface_dle_mm_penalized,Surface penalized DLE (mm),lower,eLORETA,49,13.09362743241809,8.043381629096427,10.024499744350088,9.58493755765948,11.185372038326243,8.766367677816346,47.33050549164256,11.11273077729889,15.612051138057488
surface_dle_mm_penalized,Surface penalized DLE (mm),lower,LCMV,49,47.993066289742885,3.132972908977758,47.35011973888681,46.28054907040923,48.694245196140066,42.98140992318785,57.11733394859379,47.15936820889039,48.8960205258667
surface_dle_mm_penalized,Surface penalized DLE (mm),lower,Dipole fitting (grid),49,10.25813484897826,1.2273980991240674,10.094719431893424,9.467713231487517,10.881484894284226,8.5364952298137,15.561779017983218,9.93555498341715,10.619373472574852
surface_dle_mm_penalized,Surface penalized DLE (mm),lower,RAP-MUSIC,49,8.912982765509936,1.1056412990001199,8.570466013677118,8.216548007062977,9.285124866746054,7.302662563848848,13.36613860779739,8.6256498442594,9.231072471087293
deep_sd_mm_penalized,Deep penalized SD (mm),lower,OASTER V19,49,4.406304293716848,1.8212078759783439,4.072390834305106,3.065929375207944,5.054199826813619,2.0420798992605955,10.485485819309277,3.9411648612558845,4.921496016942497
deep_sd_mm_penalized,Deep penalized SD (mm),lower,SISSES,49,15.086455401059643,3.194194570173306,14.024185239048181,12.316874956781872,17.957926770401354,11.01949499236998,21.386203081610933,14.22042735330741,15.97606843642646
deep_sd_mm_penalized,Deep penalized SD (mm),lower,MNE,49,19.40891449545078,2.2591473902885832,18.858164490316593,17.568429135711224,21.089553120203167,15.961424958723226,23.977343466966897,18.78495676963713,20.037002110421344
deep_sd_mm_penalized,Deep penalized SD (mm),lower,dSPM,49,18.689207000866876,1.740297627190924,18.167015769406433,17.194518911439157,19.98985004205849,16.11835280550799,22.24748183209374,18.205432896705748,19.17894730449533
deep_sd_mm_penalized,Deep penalized SD (mm),lower,sLORETA,49,18.467223527684204,1.8796903778717116,18.098615630668238,16.891422873702314,19.851857800004357,15.679093111128017,22.06213077325599,17.95022135563744,18.99350230805083
deep_sd_mm_penalized,Deep penalized SD (mm),lower,eLORETA,49,18.801981800693913,1.840072753305165,18.22694880690473,17.38721743191422,20.054962003863736,16.010641875149954,22.597920186866826,18.29793763306989,19.31890630940561
deep_sd_mm_penalized,Deep penalized SD (mm),lower,LCMV,49,11.029689778072695,4.618715916038182,10.499081865848291,7.656158905616851,14.572486773865192,4.127313426831392,19.949629368405752,9.776180676798294,12.332498872908094
deep_sd_mm_penalized,Deep penalized SD (mm),lower,Dipole fitting (grid),49,109.32658417573883,17.238811780190762,102.63174132052283,96.9734683125731,113.00557469696896,89.306043804135,154.23877349947546,104.79457575906861,114.27209591731993
deep_sd_mm_penalized,Deep penalized SD (mm),lower,RAP-MUSIC,49,76.4641204149573,33.08635051689296,59.70349910330868,53.967491458009476,88.45286151749032,46.20248338947525,154.87220637547765,67.7015350283349,85.79138649606956
deep_dle_mm_penalized,Deep penalized DLE (mm),lower,OASTER V19,49,4.126492703467041,1.7955533943932318,3.7950236246161935,2.8641222241216124,4.465973770180301,2.0415308938281775,10.055970359427851,3.661726853743874,4.651784802954673
deep_dle_mm_penalized,Deep penalized DLE (mm),lower,SISSES,49,11.536407258064786,3.0396212792825,10.632545428160839,9.042313807638912,13.682740986319823,7.685528625878788,18.95372958659881,10.725112465267673,12.412119906412077
deep_dle_mm_penalized,Deep penalized DLE (mm),lower,MNE,49,16.127703558808772,4.22330663412345,14.752480839793462,12.779020056740904,18.289174225263068,10.487264539332477,25.660178190513466,14.984478306593285,17.312766828057015
deep_dle_mm_penalized,Deep penalized DLE (mm),lower,dSPM,49,9.731402730323364,2.202539945029549,9.000857872795072,8.078976844860312,11.001447465899195,7.08768041928155,18.08671445822755,9.15916466308519,10.377051255012569
deep_dle_mm_penalized,Deep penalized DLE (mm),lower,sLORETA,49,11.065898985375924,3.339202013528197,10.106747567566435,9.167235443069238,12.460640555742414,6.22350239553077,20.09410983942404,10.156590843071655,12.004062393508708
deep_dle_mm_penalized,Deep penalized DLE (mm),lower,eLORETA,49,9.378958709322056,4.044695814629227,7.7407300619297486,6.529323431776145,11.106079424994363,5.181771834194192,22.716106914374194,8.317875434126309,10.555756467072108
deep_dle_mm_penalized,Deep penalized DLE (mm),lower,LCMV,49,3.82330489850518,3.3663485046984785,2.482475888887397,0.9061412621609808,6.393957755974207,0.09803921753822879,12.41844255692741,2.9210570635268773,4.788515417426244
deep_dle_mm_penalized,Deep penalized DLE (mm),lower,Dipole fitting (grid),49,109.32253331527025,17.238950461371196,102.63174132052283,96.9734683125731,113.00557469696896,89.306043804135,154.23877349947546,104.78920345391923,114.43281885172537
deep_dle_mm_penalized,Deep penalized DLE (mm),lower,RAP-MUSIC,49,76.46224675927911,33.08715241692383,59.70349910330868,53.967491458009476,88.45286151749032,46.20248338947525,154.87220637547765,67.74930272944778,86.03803484548246
deep_sensitivity,Deep sensitivity,higher,OASTER V19,49,0.7953181272509005,0.09536555789822086,0.8039215686274509,0.7450980392156863,0.8676470588235294,0.4803921568627451,0.9215686274509803,0.7668067226890756,0.8210284113645457
deep_sensitivity,Deep sensitivity,higher,SISSES,49,0.5650660264105642,0.09894718991891119,0.5849673202614379,0.5212418300653594,0.6464052287581699,0.33692810457516337,0.7081699346405229,0.5366478257969854,0.5912638388688809
deep_sensitivity,Deep sensitivity,higher,MNE,49,0.4608243297318927,0.12187113954370563,0.4898692810457516,0.396078431372549,0.5754901960784314,0.1892156862745098,0.6441176470588235,0.42574246365212753,0.4937780112044817
deep_sensitivity,Deep sensitivity,higher,dSPM,49,0.601593970921702,0.07361317042127154,0.6297385620915033,0.5362745098039216,0.6617647058823529,0.39673202614379083,0.7303921568627452,0.5807449646525278,0.6215566226490595
deep_sensitivity,Deep sensitivity,higher,sLORETA,49,0.6069761237828465,0.0892276199408399,0.6,0.5558823529411765,0.6787581699346404,0.3666666666666667,0.7549019607843137,0.5825661931439242,0.631546785380819
deep_sensitivity,Deep sensitivity,higher,eLORETA,49,0.676077097505669,0.09537800605900536,0.7107843137254902,0.6519607843137254,0.7401960784313726,0.342156862745098,0.7647058823529411,0.6476915766306522,0.7004276710684274
deep_sensitivity,Deep sensitivity,higher,LCMV,49,0.8002601040416166,0.2520265712465088,0.9558823529411765,0.6470588235294118,0.9803921568627452,0.19999999999999998,1.0,0.7282908163265307,0.8662603374683207
deep_sensitivity,Deep sensitivity,higher,Dipole fitting (grid),49,0.5184073629451781,0.07005353759783259,0.5441176470588235,0.5049019607843138,0.5686274509803921,0.338235294117647,0.5882352941176471,0.4980992396958783,0.5372148859543817
deep_sensitivity,Deep sensitivity,higher,RAP-MUSIC,49,0.6708683473389356,0.14285943133591106,0.7450980392156863,0.6176470588235294,0.7696078431372548,0.338235294117647,0.7990196078431372,0.6298519407763106,0.708483393357343
deep_specificity,Deep specificity,higher,OASTER V19,49,0.9873949579831934,0.013084654720626603,0.9852941176470589,0.9852941176470589,1.0,0.9558823529411765,1.0,0.9834933973589437,0.9909963985594237
deep_specificity,Deep specificity,higher,SISSES,49,0.42436974789915966,0.3788013785997429,0.35294117647058826,0.0,0.8382352941176471,0.0,1.0,0.31962785114045617,0.5309123649459784
deep_specificity,Deep specificity,higher,MNE,49,0.07533013205282113,0.08322329021763772,0.04411764705882353,0.0,0.1323529411764706,0.0,0.29411764705882354,0.053413865546218485,0.09903961584633852
