metric,metric_label,direction,baseline,n_snr_pairs,oaster_mean,baseline_mean,mean_oriented_difference,median_oriented_difference,bootstrap_difference_ci_low,bootstrap_difference_ci_high,oaster_wins,ties,oaster_losses,win_rate_excluding_ties,common_language_win_probability,wilcoxon_p_value,holm_p_value_within_metric,paired_rank_biserial
surface_dle_mm_penalized,Surface penalized DLE (mm),positive difference favors OASTER,SISSES,49,8.54425057589872,38.67488703461582,30.130636458717102,19.230136561141492,23.601862484819833,36.87607868744467,49,0,0,1.0,1.0,3.552713678800501e-15,2.842170943040401e-14,1.0
surface_dle_mm_penalized,Surface penalized DLE (mm),positive difference favors OASTER,MNE,49,8.54425057589872,30.334612289556873,21.79036171365815,13.736823251154002,17.33395086043533,26.542281608772097,49,0,0,1.0,1.0,3.552713678800501e-15,2.842170943040401e-14,1.0
surface_dle_mm_penalized,Surface penalized DLE (mm),positive difference favors OASTER,dSPM,49,8.54425057589872,16.20416373124479,7.659913155346067,7.809332074428395,6.895895804541929,8.424136619272211,49,0,0,1.0,1.0,3.552713678800501e-15,2.842170943040401e-14,1.0
surface_dle_mm_penalized,Surface penalized DLE (mm),positive difference favors OASTER,sLORETA,49,8.54425057589872,20.52292797174411,11.97867739584539,8.691104743814854,9.51119728549192,14.93421456672784,49,0,0,1.0,1.0,3.552713678800501e-15,2.842170943040401e-14,1.0
surface_dle_mm_penalized,Surface penalized DLE (mm),positive difference favors OASTER,eLORETA,49,8.54425057589872,13.09362743241809,4.54937685651937,2.2149895036818465,2.6385806683066586,6.974105953069545,42,0,7,0.8571428571428571,0.8571428571428571,9.57367518594765e-10,1.91473503718953e-09,0.8873469387755102
surface_dle_mm_penalized,Surface penalized DLE (mm),positive difference favors OASTER,LCMV,49,8.54425057589872,47.993066289742885,39.44881571384416,38.7731796559179,38.68776483461044,40.272940899636204,49,0,0,1.0,1.0,3.552713678800501e-15,2.842170943040401e-14,1.0
surface_dle_mm_penalized,Surface penalized DLE (mm),positive difference favors OASTER,Dipole fitting (grid),49,8.54425057589872,10.25813484897826,1.7138842730795396,1.7927054392023312,1.4455358107190623,2.000319700822759,47,0,2,0.9591836734693877,0.9591836734693877,3.552713678800501e-14,1.0658141036401503e-13,0.9918367346938776
surface_dle_mm_penalized,Surface penalized DLE (mm),positive difference favors OASTER,RAP-MUSIC,49,8.54425057589872,8.912982765509936,0.3687321896112147,0.5248950817589453,0.020243240215961866,0.7171273373802833,34,0,15,0.6938775510204082,0.6938775510204082,0.030792849170467207,0.030792849170467207,0.35346938775510206
deep_sd_mm_penalized,Deep penalized SD (mm),positive difference favors OASTER,SISSES,49,4.406304293716848,15.086455401059643,10.680151107342795,10.58788692041696,10.048504258335749,11.317574046767762,49,0,0,1.0,1.0,3.552713678800501e-15,2.842170943040401e-14,1.0
deep_sd_mm_penalized,Deep penalized SD (mm),positive difference favors OASTER,MNE,49,4.406304293716848,19.40891449545078,15.002610201733932,14.693783967379925,14.53174887518126,15.486785287493637,49,0,0,1.0,1.0,3.552713678800501e-15,2.842170943040401e-14,1.0
deep_sd_mm_penalized,Deep penalized SD (mm),positive difference favors OASTER,dSPM,49,4.406304293716848,18.689207000866876,14.28290270715003,14.170658217420641,13.896550660429527,14.661589381638525,49,0,0,1.0,1.0,3.552713678800501e-15,2.842170943040401e-14,1.0
deep_sd_mm_penalized,Deep penalized SD (mm),positive difference favors OASTER,sLORETA,49,4.406304293716848,18.467223527684204,14.06091923396736,13.899170134116325,13.635951810944936,14.485683548910126,49,0,0,1.0,1.0,3.552713678800501e-15,2.842170943040401e-14,1.0
deep_sd_mm_penalized,Deep penalized SD (mm),positive difference favors OASTER,eLORETA,49,4.406304293716848,18.801981800693913,14.395677506977064,14.310633595992329,14.016877297827365,14.776207282640481,49,0,0,1.0,1.0,3.552713678800501e-15,2.842170943040401e-14,1.0
deep_sd_mm_penalized,Deep penalized SD (mm),positive difference favors OASTER,LCMV,49,4.406304293716848,11.029689778072695,6.623385484355849,6.615206663885209,5.5741613111075825,7.6602406850406375,48,0,1,0.9795918367346939,0.9795918367346939,1.0658141036401503e-14,2.842170943040401e-14,0.996734693877551
deep_sd_mm_penalized,Deep penalized SD (mm),positive difference favors OASTER,Dipole fitting (grid),49,4.406304293716848,109.32658417573883,104.920279882022,98.67087829105805,100.76616776383214,109.45096397012865,49,0,0,1.0,1.0,3.552713678800501e-15,2.842170943040401e-14,1.0
deep_sd_mm_penalized,Deep penalized SD (mm),positive difference favors OASTER,RAP-MUSIC,49,4.406304293716848,76.4641204149573,72.05781612124045,56.63756972810073,63.594953499858434,81.19550101358413,49,0,0,1.0,1.0,3.552713678800501e-15,2.842170943040401e-14,1.0
deep_dle_mm_penalized,Deep penalized DLE (mm),positive difference favors OASTER,SISSES,49,4.126492703467041,11.536407258064786,7.409914554597747,6.9073469477990805,6.808123329180016,8.042132031070693,49,0,0,1.0,1.0,3.552713678800501e-15,2.842170943040401e-14,1.0
deep_dle_mm_penalized,Deep penalized DLE (mm),positive difference favors OASTER,MNE,49,4.126492703467041,16.127703558808772,12.001210855341728,11.147022435552726,11.108708257595914,12.90418890090358,49,0,0,1.0,1.0,3.552713678800501e-15,2.842170943040401e-14,1.0
deep_dle_mm_penalized,Deep penalized DLE (mm),positive difference favors OASTER,dSPM,49,4.126492703467041,9.731402730323364,5.604910026856325,5.654961094995863,5.170096695713171,6.047556624392965,49,0,0,1.0,1.0,3.552713678800501e-15,2.842170943040401e-14,1.0
