method,eeg_snr_db,meg_snr_db,scenario,aggregation,case_count,scenario_count,auc,auc_tie_corrected,surface_auc_tie_corrected,deep_auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,deep_score,deep_peak_distance_mm,active_count,surface_active_count,deep_active_count,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized,deep_sensitivity,deep_specificity,deep_balanced_accuracy
eLORETA,-5,-5,deep_only,case_weighted_within_scenario,30,1,0.9353333333333332,0.9828652557788722,nan,0.9466666666666668,1.9729002570379361,nan,nan,21.493908301462643,4.8856180624914805,0.9020780885757795,3.4142135010583234,7463.366666666667,7447.366666666667,16.0,nan,nan,42.54521647902382,26.874315691556298,0.9,nan,nan
eLORETA,-5,-5,deep_plus_surface,case_weighted_within_scenario,136,1,0.629774293850151,0.8234379813360023,0.8567195659292185,0.5622549019607843,1.915419635246318,69.72286500054759,28.44004830350617,23.84073573228867,22.700532916802043,0.36229941643131386,21.17098377462981,5224.375,5208.375,16.0,69.72286500054759,28.44004830350617,182.7966775978787,180.7170714626737,0.2426470588235294,nan,nan
eLORETA,-5,-5,deep_plus_two_surface,case_weighted_within_scenario,67,1,0.7335610298226198,0.7317597363929736,0.746939066651566,0.5044776119402987,1.9141526010558998,50.428170756702684,37.23268188142279,23.974588661362333,25.245656227601586,0.33339741940778794,21.612311531568505,5188.432835820896,5172.432835820896,16.0,50.428170756702684,37.23268188142279,190.00575435389013,188.51150338299334,0.208955223880597,nan,nan
eLORETA,-5,-5,surface_only,case_weighted_within_scenario,136,1,0.7864284240739335,0.8633585244363396,0.863179772434649,nan,1.8925896598490368,68.58492758910803,27.842853847693718,nan,nan,0.3409720945801072,nan,4945.507352941177,4929.507352941177,16.0,68.58492758910803,27.842853847693718,nan,nan,nan,0.08088235294117647,nan
eLORETA,-5,0,deep_only,case_weighted_within_scenario,30,1,1.0,0.9998668973778784,nan,0.9955555555555555,1.9610237100320946,nan,nan,20.297076432496688,0.8047378758340121,0.9968162497160917,0.0,7406.366666666667,7390.366666666667,16.0,nan,nan,20.297076432496688,0.8047378758340121,1.0,nan,nan
eLORETA,-5,0,deep_plus_surface,case_weighted_within_scenario,136,1,0.6817451823440555,0.8816857126228868,0.9091910238122715,0.5558823529411764,1.887484298339859,56.709907712250754,10.488713198727043,23.701281597549144,22.06001662193709,0.35476325980022083,22.372967939275775,3879.375,3863.375,16.0,56.709907712250754,10.488713198727043,195.25511401218577,192.67451643933578,0.18382352941176472,nan,nan
eLORETA,-5,0,deep_plus_two_surface,case_weighted_within_scenario,67,1,0.7753799493713113,0.8040462743686175,0.8164346703143296,0.565174129353234,1.8855450831229617,41.76297648094009,24.778802508799142,23.621316476987875,20.00409022013066,0.325902189503528,20.06769944546815,3647.5671641791046,3631.5671641791046,16.0,41.76297648094009,27.90194145428389,180.3262653897795,177.1632464458355,0.2537313432835821,nan,nan
eLORETA,-5,0,surface_only,case_weighted_within_scenario,136,1,0.8332748177824426,0.9094471019932988,0.9093900883109625,nan,1.8593887342936395,55.20044986494147,10.683833758814998,nan,nan,0.32121718172412367,nan,3600.830882352941,3584.8529411764707,15.977941176470589,55.20044986494147,10.683833758814998,nan,nan,nan,0.10294117647058823,nan
eLORETA,-5,5,deep_only,case_weighted_within_scenario,30,1,1.0,0.9999955632459293,nan,0.9977777777777778,1.9459604837832987,nan,nan,18.54193001618098,0.3333333396299779,1.0,0.0,6387.566666666667,6371.766666666666,15.8,nan,nan,18.54193001618098,0.3333333396299779,1.0,nan,nan
eLORETA,-5,5,deep_plus_surface,case_weighted_within_scenario,136,1,0.7505106970099543,0.9179552267398057,0.9363900388585141,0.6151960784313725,1.853739828573328,37.31775941237373,7.412633349135812,23.39172344634516,20.657030693131862,0.3360494089172587,21.154636885225933,1839.4191176470588,1823.4632352941176,15.955882352941176,37.31775941237373,7.412633349135812,193.4268764603919,190.7157679495979,0.19117647058823528,nan,nan
eLORETA,-5,5,deep_plus_two_surface,case_weighted_within_scenario,67,1,0.8262549129030653,0.8593185602180943,0.8668851314039809,0.5840796019900498,1.8514655662643527,29.024452553196234,14.455446554525281,23.428633592837098,19.683338708100187,0.31258147310501694,19.548704140426143,1993.044776119403,1977.044776119403,16.0,29.024452553196234,37.39597875023073,183.21743777477514,180.1170952856722,0.23880597014925373,nan,nan
eLORETA,-5,5,surface_only,case_weighted_within_scenario,136,1,0.8648401210656651,0.9392559931597045,0.9392824101926022,nan,1.8179852462933208,34.99010746247633,7.569101614994753,nan,nan,0.3108209436706635,nan,1615.5588235294117,1599.6691176470588,15.889705882352942,34.99010746247633,7.569101614994753,nan,nan,nan,0.1323529411764706,nan
eLORETA,-5,10,deep_only,case_weighted_within_scenario,30,1,1.0,1.0,nan,1.0,1.9231705444105556,nan,nan,15.660362582140767,0.0,1.0,0.0,2702.5,2689.6,12.9,nan,nan,15.660362582140767,0.0,1.0,nan,nan
eLORETA,-5,10,deep_plus_surface,case_weighted_within_scenario,136,1,0.8061988183792324,0.9325749823500312,0.9445487977817317,0.6161764705882353,1.8188129241746822,24.755336023949354,7.29630921917543,23.06225418272666,20.49907165207319,0.3295334157872421,20.582720672041113,718.3823529411765,702.9117647058823,15.470588235294118,24.755336023949354,7.29630921917543,185.36265569887019,182.2283584138797,0.22794117647058823,nan,nan
eLORETA,-5,10,deep_plus_two_surface,case_weighted_within_scenario,67,1,0.8598224680319545,0.8793526809785862,0.8836895605253664,0.6059701492537314,1.815576304068609,22.289961430516698,8.521859415829093,23.318380712211503,20.428054582939428,0.298792504313424,21.11648978668331,897.5373134328358,881.6865671641791,15.850746268656716,22.289961430516698,62.37433761056302,192.55742868630438,189.72707722836287,0.19402985074626866,nan,nan
