metric,metric_label,direction,baseline,n_snr_pairs,oaster_mean,baseline_mean,mean_oriented_difference,median_oriented_difference,bootstrap_difference_ci_low,bootstrap_difference_ci_high,oaster_wins,ties,oaster_losses,win_rate_excluding_ties,common_language_win_probability,wilcoxon_p_value,holm_p_value_within_metric,paired_rank_biserial
deep_sd_mm_penalized,Deep penalized SD (mm),positive difference favors OASTER,dSPM,49,4.540289626100683,20.797457963725314,16.257168337624634,16.58535677421107,15.684040530084413,16.78664272017045,49,0,0,1.0,1.0,3.552713678800501e-15,2.4868995751603507e-14,1.0
deep_sd_mm_penalized,Deep penalized SD (mm),positive difference favors OASTER,eLORETA,49,4.540289626100683,21.036613193673926,16.496323567573246,16.76173445970459,15.87071353320182,17.06582840759055,49,0,0,1.0,1.0,3.552713678800501e-15,2.4868995751603507e-14,1.0
deep_sd_mm_penalized,Deep penalized SD (mm),positive difference favors OASTER,sLORETA,49,4.540289626100683,20.866762067525293,16.326472441424613,16.601551606224522,15.754652153457965,16.863477323442478,49,0,0,1.0,1.0,3.552713678800501e-15,2.4868995751603507e-14,1.0
deep_sd_mm_penalized,Deep penalized SD (mm),positive difference favors OASTER,MNE,49,4.540289626100683,21.047194654603317,16.506905028502633,16.836123617722883,15.951306826011171,17.028403787489903,49,0,0,1.0,1.0,3.552713678800501e-15,2.4868995751603507e-14,1.0
deep_sd_mm_penalized,Deep penalized SD (mm),positive difference favors OASTER,LCMV,49,4.540289626100683,13.39847837766297,8.858188751562286,8.712300087173904,8.208328580565327,9.546771878466753,49,0,0,1.0,1.0,3.552713678800501e-15,2.4868995751603507e-14,1.0
deep_sd_mm_penalized,Deep penalized SD (mm),positive difference favors OASTER,RAP-MUSIC,49,4.540289626100683,97.48972447011111,92.94943484401043,95.46553239017737,83.95945063774316,101.76930197003085,49,0,0,1.0,1.0,3.552713678800501e-15,2.4868995751603507e-14,1.0
deep_sd_mm_penalized,Deep penalized SD (mm),positive difference favors OASTER,Dipole fitting (grid),49,4.540289626100683,126.15811282091465,121.61782319481395,122.95320800946834,117.44109148682017,125.67311568143288,49,0,0,1.0,1.0,3.552713678800501e-15,2.4868995751603507e-14,1.0
deep_dle_mm_penalized,Deep penalized DLE (mm),positive difference favors OASTER,dSPM,49,4.213353776979294,14.096689660656255,9.88333588367696,10.721561010838778,9.097098173793524,10.651918184450265,49,0,0,1.0,1.0,3.552713678800501e-15,2.4868995751603507e-14,1.0
deep_dle_mm_penalized,Deep penalized DLE (mm),positive difference favors OASTER,eLORETA,49,4.213353776979294,12.708136161371726,8.494782384392435,8.693320976288183,7.988943666376088,9.003894738062371,49,0,0,1.0,1.0,3.552713678800501e-15,2.4868995751603507e-14,1.0
deep_dle_mm_penalized,Deep penalized DLE (mm),positive difference favors OASTER,sLORETA,49,4.213353776979294,12.979785322075655,8.766431545096363,9.051878312420211,8.182159062751879,9.323623860943886,49,0,0,1.0,1.0,3.552713678800501e-15,2.4868995751603507e-14,1.0
