metric,metric_label,baseline,eeg_snr_db,meg_snr_db,oaster_value,baseline_value,oriented_difference_positive_favors_oaster,outcome
rmse,Squared relative error (historical RMSE field),LCMV,-10,10,0.7889300423111069,1.8446269077209378,1.055696865409831,win
rmse,Squared relative error (historical RMSE field),LCMV,-10,15,0.757225286036959,1.7522329210490295,0.9950076350120705,win
rmse,Squared relative error (historical RMSE field),LCMV,-10,20,0.7783737521966675,1.6379177661945352,0.8595440139978677,win
rmse,Squared relative error (historical RMSE field),LCMV,-5,-10,0.703293229447268,1.9534491179689275,1.2501558885216595,win
rmse,Squared relative error (historical RMSE field),LCMV,-5,-5,0.7132583945603027,1.9443211417434307,1.231062747183128,win
rmse,Squared relative error (historical RMSE field),LCMV,-5,0,0.7318817619582223,1.9304403561703143,1.198558594212092,win
rmse,Squared relative error (historical RMSE field),LCMV,-5,5,0.7357306707076077,1.899871482051174,1.1641408113435663,win
rmse,Squared relative error (historical RMSE field),LCMV,-5,10,0.723787729761083,1.845150061103573,1.1213623313424899,win
rmse,Squared relative error (historical RMSE field),LCMV,-5,15,0.7803675882876978,1.7534215976523693,0.9730540093646715,win
rmse,Squared relative error (historical RMSE field),LCMV,-5,20,0.7398943008258881,1.639158570870835,0.8992642700449468,win
rmse,Squared relative error (historical RMSE field),LCMV,0,-10,0.6869229038559821,1.9471585566272478,1.2602356527712657,win
rmse,Squared relative error (historical RMSE field),LCMV,0,-5,0.6290186788471653,1.938084209202353,1.3090655303551877,win
rmse,Squared relative error (historical RMSE field),LCMV,0,0,0.6418884855287555,1.9222047202059545,1.280316234677199,win
rmse,Squared relative error (historical RMSE field),LCMV,0,5,0.6615353228668368,1.893314882130656,1.2317795592638192,win
rmse,Squared relative error (historical RMSE field),LCMV,0,10,0.685729595828884,1.8369988560114725,1.1512692601825885,win
rmse,Squared relative error (historical RMSE field),LCMV,0,15,0.6929986718153741,1.7476137645789467,1.0546150927635725,win
rmse,Squared relative error (historical RMSE field),LCMV,0,20,0.7291394114933392,1.6374985039283694,0.9083590924350302,win
rmse,Squared relative error (historical RMSE field),LCMV,5,-10,0.6853984303974024,1.9367329570798029,1.2513345266824003,win
rmse,Squared relative error (historical RMSE field),LCMV,5,-5,0.6349099609530071,1.9264778156571165,1.2915678547041094,win
rmse,Squared relative error (historical RMSE field),LCMV,5,0,0.6217243417923423,1.910441845544924,1.2887175037525815,win
rmse,Squared relative error (historical RMSE field),LCMV,5,5,0.6171379029084827,1.8810864349845464,1.2639485320760637,win
rmse,Squared relative error (historical RMSE field),LCMV,5,10,0.6524919333143127,1.8275218633462225,1.1750299300319098,win
rmse,Squared relative error (historical RMSE field),LCMV,5,15,0.6675904750236361,1.7397642885828875,1.0721738135592513,win
rmse,Squared relative error (historical RMSE field),LCMV,5,20,0.7118635877778124,1.6321974846145917,0.9203338968367792,win
rmse,Squared relative error (historical RMSE field),LCMV,10,-10,0.6686438260381565,1.9159640771827442,1.2473202511445876,win
rmse,Squared relative error (historical RMSE field),LCMV,10,-5,0.625534356374619,1.9058489576430266,1.2803146012684077,win
rmse,Squared relative error (historical RMSE field),LCMV,10,0,0.6226173229370938,1.8878948804415328,1.2652775575044388,win
rmse,Squared relative error (historical RMSE field),LCMV,10,5,0.5923454747885838,1.856744147662307,1.2643986728737233,win
rmse,Squared relative error (historical RMSE field),LCMV,10,10,0.6039769023947166,1.8052015013981333,1.2012245990034167,win
rmse,Squared relative error (historical RMSE field),LCMV,10,15,0.6349879384137691,1.722557128537404,1.0875691901236348,win
rmse,Squared relative error (historical RMSE field),LCMV,10,20,0.6576726369861842,1.6159980924394266,0.9583254554532424,win
rmse,Squared relative error (historical RMSE field),LCMV,15,-10,0.697351973167986,1.8753532707368592,1.1780012975688732,win
rmse,Squared relative error (historical RMSE field),LCMV,15,-5,0.6779916585121482,1.8647720513517212,1.186780392839573,win
rmse,Squared relative error (historical RMSE field),LCMV,15,0,0.6333890657344358,1.8497052876367805,1.216316221902345,win
rmse,Squared relative error (historical RMSE field),LCMV,15,5,0.6293727404083085,1.817647162931579,1.1882744225232704,win
rmse,Squared relative error (historical RMSE field),LCMV,15,10,0.594594623672385,1.7683679617464514,1.1737733380740663,win
rmse,Squared relative error (historical RMSE field),LCMV,15,15,0.5978393124780448,1.6891257356593778,1.091286423181333,win
rmse,Squared relative error (historical RMSE field),LCMV,15,20,0.6219974903205909,1.5967566453990703,0.9747591550784793,win
rmse,Squared relative error (historical RMSE field),LCMV,20,-10,0.6982005314815768,1.7980453544615813,1.0998448229800046,win
rmse,Squared relative error (historical RMSE field),LCMV,20,-5,0.6695561626522084,1.7916914023861628,1.1221352397339543,win
rmse,Squared relative error (historical RMSE field),LCMV,20,0,0.6679378988492979,1.7801397863887918,1.112201887539494,win
rmse,Squared relative error (historical RMSE field),LCMV,20,5,0.6129545051130852,1.7505727941771747,1.1376182890640893,win
rmse,Squared relative error (historical RMSE field),LCMV,20,10,0.6086436234034852,1.7076543180306643,1.0990106946271792,win
rmse,Squared relative error (historical RMSE field),LCMV,20,15,0.5851992524163374,1.637563185471909,1.0523639330555716,win
rmse,Squared relative error (historical RMSE field),LCMV,20,20,0.5912052088669877,1.5573178385936224,0.9661126297266347,win
rmse,Squared relative error (historical RMSE field),RAP-MUSIC,-10,-10,0.800315860269666,1.5413289689622496,0.7410131086925836,win
rmse,Squared relative error (historical RMSE field),RAP-MUSIC,-10,-5,0.7712560505025302,1.380841388124972,0.6095853376224417,win
rmse,Squared relative error (historical RMSE field),RAP-MUSIC,-10,0,0.7851552014310887,1.2742553039691675,0.4891001025380788,win
rmse,Squared relative error (historical RMSE field),RAP-MUSIC,-10,5,0.7919584337362544,1.2516714778379494,0.459713044101695,win
rmse,Squared relative error (historical RMSE field),RAP-MUSIC,-10,10,0.7889300423111069,1.1727450486373723,0.3838150063262654,win
rmse,Squared relative error (historical RMSE field),RAP-MUSIC,-10,15,0.757225286036959,1.1433453556215079,0.3861200695845488,win
rmse,Squared relative error (historical RMSE field),RAP-MUSIC,-10,20,0.7783737521966675,1.1717022874859422,0.3933285352892747,win
rmse,Squared relative error (historical RMSE field),RAP-MUSIC,-5,-10,0.703293229447268,1.43929282921329,0.735999599766022,win
rmse,Squared relative error (historical RMSE field),RAP-MUSIC,-5,-5,0.7132583945603027,1.332426144051791,0.6191677494914883,win
rmse,Squared relative error (historical RMSE field),RAP-MUSIC,-5,0,0.7318817619582223,1.2662900277903353,0.534408265832113,win
rmse,Squared relative error (historical RMSE field),RAP-MUSIC,-5,5,0.7357306707076077,1.2189465253515261,0.4832158546439185,win
rmse,Squared relative error (historical RMSE field),RAP-MUSIC,-5,10,0.723787729761083,1.1637861076084146,0.43999837784733165,win
rmse,Squared relative error (historical RMSE field),RAP-MUSIC,-5,15,0.7803675882876978,1.1605081341206078,0.38014054583291,win
rmse,Squared relative error (historical RMSE field),RAP-MUSIC,-5,20,0.7398943008258881,1.1751227789338654,0.43522847810797727,win
rmse,Squared relative error (historical RMSE field),RAP-MUSIC,0,-10,0.6869229038559821,1.3606293748637706,0.6737064710077885,win
rmse,Squared relative error (historical RMSE field),RAP-MUSIC,0,-5,0.6290186788471653,1.3139836093953428,0.6849649305481774,win
rmse,Squared relative error (historical RMSE field),RAP-MUSIC,0,0,0.6418884855287555,1.2315453589017782,0.5896568733730226,win
rmse,Squared relative error (historical RMSE field),RAP-MUSIC,0,5,0.6615353228668368,1.201258201564433,0.5397228786975963,win
rmse,Squared relative error (historical RMSE field),RAP-MUSIC,0,10,0.685729595828884,1.1425412330754046,0.4568116372465205,win
rmse,Squared relative error (historical RMSE field),RAP-MUSIC,0,15,0.6929986718153741,1.152000726036868,0.459002054221494,win
rmse,Squared relative error (historical RMSE field),RAP-MUSIC,0,20,0.7291394114933392,1.163718784465528,0.43457937297218874,win
rmse,Squared relative error (historical RMSE field),RAP-MUSIC,5,-10,0.6853984303974024,1.267764084901939,0.5823656545045365,win
