case_id,scenario,method,auc,rmse,surface_sd_mm,deep_sd_mm,dle_mm,active_count,deep_grid,eeg_drop,meg_drop
mixed2_01,mixed2,V11_compact_refined,0.9273379629629629,0.4745753725107729,2.7013763213608413,0.0,6.557686470462454,52,coarse,0.0889367834841801,0.12596678134381034
mixed2_02,mixed2,SISSES_0.10,0.6572800925925927,0.6552962928999555,6.4288128552737795,69.45324162500884,29.90988003368214,226,coarse,nan,nan
mixed2_02,mixed2,V9b_balanced,0.6589872685185186,0.368362290885042,2.5255404571961813,10.000000548548492,8.07794562489886,85,coarse,nan,nan
mixed2_02,mixed2,V11_range,0.659369212962963,0.17128134928157113,1.6230342490845886,10.000000548548492,6.728417136072915,72,coarse,nan,nan
mixed2_02,mixed2,V11_compact_refined,0.9348958333333334,0.23895420497812303,0.44891038729281,0.0,3.395083619890085,41,coarse,0.39441467563616917,0.15879564564717252
mixed2_03,mixed2,SISSES_0.10,0.6417216435185186,0.7159391320489076,3.5000949368805516,89.73524870727084,31.275190876548994,95,coarse,nan,nan
mixed2_03,mixed2,V9b_balanced,0.9768721064814816,0.5040656359374815,2.975516311244598,0.0,7.803839959339149,92,coarse,nan,nan
mixed2_03,mixed2,V11_range,0.9772424768518518,0.3834622076886949,2.5042484140116015,0.0,5.302012819374824,79,coarse,nan,nan
mixed2_03,mixed2,V11_compact_refined,0.7611226851851852,0.9254242783837308,1.4840848520752608,0.0,5.302012819374824,17,coarse,0.16682541774526694,0.2399805911011561
mixed_00,mixed,SISSES_0.10,0.4890321180555557,0.3472501939119602,2.2331032183704513,64.77212202007594,24.667292839539574,36,coarse,nan,nan
mixed_00,mixed,V9b_balanced,0.9891102430555557,0.25892737877021227,1.8823853347243658,0.0,4.837932413118375,34,coarse,nan,nan
mixed_00,mixed,V11_range,0.989084201388889,0.23367651682870422,1.7799955868712753,0.0,4.837932413118375,33,coarse,nan,nan
mixed_00,mixed,V11_compact_refined,0.9348958333333334,0.3124357196528445,0.8523212777485478,0.0,4.837932413118375,20,coarse,0.2695057840361913,0.2175314814580508
mixed_01,mixed,SISSES_0.10,0.9845746527777779,1.0221086110052138,7.649039628534748,0.0,18.799072597712115,132,coarse,nan,nan
