dataset,case_id,label_posthoc,eeg_snr_db_posthoc,meg_snr_db_posthoc,candidate,family,score
current15,erp-v6-localization-v5-development-08-eeg-10-meg+20,1,-10,20,adaptive_balance_p0p5,adaptive_balance,0.03258231997890943
current15,erp-v6-localization-v5-development-08-eeg-10-meg+20,1,-10,20,adaptive_balance_p1,adaptive_balance,0.03337780110111127
current15,erp-v6-localization-v5-development-08-eeg-10-meg+20,1,-10,20,adaptive_balance_p2,adaptive_balance,0.03345148095973527
current15,erp-v6-localization-v5-development-08-eeg-10-meg+20,1,-10,20,reference_global_sqrt_fixed_3_to_1,reference_global,0.014295056109429188
current15,erp-v6-localization-v5-development-08-eeg-10-meg+20,1,-10,20,reference_snr_blind_consensus,reference_consensus,0.031712485836623394
current15,erp-v6-localization-v5-development-09-eeg-10-meg+20,1,-10,20,per_modality_fixed_3_to_1_e05,per_modality_exponent,0.014141555753456573
current15,erp-v6-localization-v5-development-09-eeg-10-meg+20,1,-10,20,per_modality_fixed_3_to_1_e0625,per_modality_exponent,0.00912847248362293
current15,erp-v6-localization-v5-development-09-eeg-10-meg+20,1,-10,20,per_modality_fixed_3_to_1_e075,per_modality_exponent,0.00627477887647402
current15,erp-v6-localization-v5-development-09-eeg-10-meg+20,1,-10,20,per_modality_fixed_3_to_1_e0875,per_modality_exponent,0.00464599534272991
current15,erp-v6-localization-v5-development-09-eeg-10-meg+20,1,-10,20,per_modality_fixed_3_to_1_e10,per_modality_exponent,0.003712080131422093
current15,erp-v6-localization-v5-development-09-eeg-10-meg+20,1,-10,20,sqrt_weight_eeg_0p5,sqrt_weight,0.02479717347038847
current15,erp-v6-localization-v5-development-09-eeg-10-meg+20,1,-10,20,sqrt_weight_eeg_0p6,sqrt_weight,0.02053492638361571
current15,erp-v6-localization-v5-development-09-eeg-10-meg+20,1,-10,20,sqrt_weight_eeg_0p666667,sqrt_weight,0.01769342832576721
current15,erp-v6-localization-v5-development-09-eeg-10-meg+20,1,-10,20,sqrt_weight_eeg_0p75,sqrt_weight,0.014141555753456573
current15,erp-v6-localization-v5-development-09-eeg-10-meg+20,1,-10,20,adaptive_balance_p0p5,adaptive_balance,0.023652468239408347
current15,erp-v6-localization-v5-development-09-eeg-10-meg+20,1,-10,20,adaptive_balance_p1,adaptive_balance,0.024674200771794837
current15,erp-v6-localization-v5-development-09-eeg-10-meg+20,1,-10,20,adaptive_balance_p2,adaptive_balance,0.024795754286160848
current15,erp-v6-localization-v5-development-09-eeg-10-meg+20,1,-10,20,reference_global_sqrt_fixed_3_to_1,reference_global,0.011807966152347341
current15,erp-v6-localization-v5-development-09-eeg-10-meg+20,1,-10,20,reference_snr_blind_consensus,reference_consensus,0.014080016026873997
current15,erp-v6-localization-v5-development-10-eeg+20-meg-10,0,20,-10,per_modality_fixed_3_to_1_e05,per_modality_exponent,0.0024768362277678593
current15,erp-v6-localization-v5-development-10-eeg+20-meg-10,0,20,-10,per_modality_fixed_3_to_1_e0625,per_modality_exponent,0.00156664290703127
current15,erp-v6-localization-v5-development-10-eeg+20-meg-10,0,20,-10,per_modality_fixed_3_to_1_e075,per_modality_exponent,0.0010454067913926576
current15,erp-v6-localization-v5-development-10-eeg+20-meg-10,0,20,-10,per_modality_fixed_3_to_1_e0875,per_modality_exponent,0.0007459321250145527
current15,erp-v6-localization-v5-development-10-eeg+20-meg-10,0,20,-10,per_modality_fixed_3_to_1_e10,per_modality_exponent,0.0005729085090201508
current15,erp-v6-localization-v5-development-10-eeg+20-meg-10,0,20,-10,sqrt_weight_eeg_0p5,sqrt_weight,0.0021488544980193614
current15,erp-v6-localization-v5-development-10-eeg+20-meg-10,0,20,-10,sqrt_weight_eeg_0p6,sqrt_weight,0.0022800471899187603
current15,erp-v6-localization-v5-development-10-eeg+20-meg-10,0,20,-10,sqrt_weight_eeg_0p666667,sqrt_weight,0.0023675089845183596
current15,erp-v6-localization-v5-development-10-eeg+20-meg-10,0,20,-10,sqrt_weight_eeg_0p75,sqrt_weight,0.0024768362277678593
current15,erp-v6-localization-v5-development-10-eeg+20-meg-10,0,20,-10,adaptive_balance_p0p5,adaptive_balance,0.0021857047207141257
current15,erp-v6-localization-v5-development-10-eeg+20-meg-10,0,20,-10,adaptive_balance_p1,adaptive_balance,0.0021529947863021723
current15,erp-v6-localization-v5-development-10-eeg+20-meg-10,0,20,-10,adaptive_balance_p2,adaptive_balance,0.0021489067630863145
current15,erp-v6-localization-v5-development-10-eeg+20-meg-10,0,20,-10,reference_global_sqrt_fixed_3_to_1,reference_global,0.002145546724046638
current15,erp-v6-localization-v5-development-10-eeg+20-meg-10,0,20,-10,reference_snr_blind_consensus,reference_consensus,0.002626920518052942
current15,erp-v6-localization-v5-development-11-eeg+20-meg-10,0,20,-10,per_modality_fixed_3_to_1_e05,per_modality_exponent,0.005310756019964516
current15,erp-v6-localization-v5-development-11-eeg+20-meg-10,0,20,-10,per_modality_fixed_3_to_1_e0625,per_modality_exponent,0.0030365817023433298
current15,erp-v6-localization-v5-development-11-eeg+20-meg-10,0,20,-10,per_modality_fixed_3_to_1_e075,per_modality_exponent,0.0017392924900521381
current15,erp-v6-localization-v5-development-11-eeg+20-meg-10,0,20,-10,per_modality_fixed_3_to_1_e0875,per_modality_exponent,0.0009991966112378823
current15,erp-v6-localization-v5-development-11-eeg+20-meg-10,0,20,-10,per_modality_fixed_3_to_1_e10,per_modality_exponent,0.0005769126863629579
current15,erp-v6-localization-v5-development-11-eeg+20-meg-10,0,20,-10,sqrt_weight_eeg_0p5,sqrt_weight,0.003564878327766418
current15,erp-v6-localization-v5-development-11-eeg+20-meg-10,0,20,-10,sqrt_weight_eeg_0p6,sqrt_weight,0.004263229404645658
current15,erp-v6-localization-v5-development-11-eeg+20-meg-10,0,20,-10,sqrt_weight_eeg_0p666667,sqrt_weight,0.004728796789231817
current15,erp-v6-localization-v5-development-11-eeg+20-meg-10,0,20,-10,sqrt_weight_eeg_0p75,sqrt_weight,0.005310756019964517
current15,erp-v6-localization-v5-development-11-eeg+20-meg-10,0,20,-10,adaptive_balance_p0p5,adaptive_balance,0.00376629234937392
current15,erp-v6-localization-v5-development-11-eeg+20-meg-10,0,20,-10,adaptive_balance_p1,adaptive_balance,0.0035881145534661877
current15,erp-v6-localization-v5-development-11-eeg+20-meg-10,0,20,-10,adaptive_balance_p2,adaptive_balance,0.0035651875832126514
current15,erp-v6-localization-v5-development-11-eeg+20-meg-10,0,20,-10,reference_global_sqrt_fixed_3_to_1,reference_global,0.005294584250025156
current15,erp-v6-localization-v5-development-11-eeg+20-meg-10,0,20,-10,reference_snr_blind_consensus,reference_consensus,0.0007759006403330479
current15,erp-v6-localization-v5-development-12-eeg+20-meg-10,1,20,-10,per_modality_fixed_3_to_1_e05,per_modality_exponent,0.12213230681854587
current15,erp-v6-localization-v5-development-12-eeg+20-meg-10,1,20,-10,per_modality_fixed_3_to_1_e0625,per_modality_exponent,0.08251696872030263
current15,erp-v6-localization-v5-development-12-eeg+20-meg-10,1,20,-10,per_modality_fixed_3_to_1_e075,per_modality_exponent,0.05611519279140842
current15,erp-v6-localization-v5-development-12-eeg+20-meg-10,1,20,-10,per_modality_fixed_3_to_1_e0875,per_modality_exponent,0.0385196400165995
current15,erp-v6-localization-v5-development-12-eeg+20-meg-10,1,20,-10,per_modality_fixed_3_to_1_e10,per_modality_exponent,0.02679302441752328
current15,erp-v6-localization-v5-development-12-eeg+20-meg-10,1,20,-10,sqrt_weight_eeg_0p5,sqrt_weight,0.08590459004672961
current15,erp-v6-localization-v5-development-12-eeg+20-meg-10,1,20,-10,sqrt_weight_eeg_0p6,sqrt_weight,0.1003956767554561
current15,erp-v6-localization-v5-development-12-eeg+20-meg-10,1,20,-10,sqrt_weight_eeg_0p666667,sqrt_weight,0.11005640122794044
current15,erp-v6-localization-v5-development-12-eeg+20-meg-10,1,20,-10,sqrt_weight_eeg_0p75,sqrt_weight,0.12213230681854587
current15,erp-v6-localization-v5-development-12-eeg+20-meg-10,1,20,-10,adaptive_balance_p0p5,adaptive_balance,0.09305152879772503
current15,erp-v6-localization-v5-development-12-eeg+20-meg-10,1,20,-10,adaptive_balance_p1,adaptive_balance,0.08731452525827509
current15,erp-v6-localization-v5-development-12-eeg+20-meg-10,1,20,-10,adaptive_balance_p2,adaptive_balance,0.08595946287554398
current15,erp-v6-localization-v5-development-12-eeg+20-meg-10,1,20,-10,reference_global_sqrt_fixed_3_to_1,reference_global,0.11943332403902582
current15,erp-v6-localization-v5-development-12-eeg+20-meg-10,1,20,-10,reference_snr_blind_consensus,reference_consensus,0.05212342971261521
current15,erp-v6-localization-v5-development-13-eeg+20-meg-10,1,20,-10,per_modality_fixed_3_to_1_e05,per_modality_exponent,0.08021925785338699
current15,erp-v6-localization-v5-development-13-eeg+20-meg-10,1,20,-10,per_modality_fixed_3_to_1_e0625,per_modality_exponent,0.053556601397739864
current15,erp-v6-localization-v5-development-13-eeg+20-meg-10,1,20,-10,per_modality_fixed_3_to_1_e075,per_modality_exponent,0.03626579163904617
current15,erp-v6-localization-v5-development-13-eeg+20-meg-10,1,20,-10,per_modality_fixed_3_to_1_e0875,per_modality_exponent,0.02504770960483317
current15,erp-v6-localization-v5-development-13-eeg+20-meg-10,1,20,-10,per_modality_fixed_3_to_1_e10,per_modality_exponent,0.017764652081113656
current15,erp-v6-localization-v5-development-13-eeg+20-meg-10,1,20,-10,sqrt_weight_eeg_0p5,sqrt_weight,0.05961410721405609
current15,erp-v6-localization-v5-development-13-eeg+20-meg-10,1,20,-10,sqrt_weight_eeg_0p6,sqrt_weight,0.06785616746978845
current15,erp-v6-localization-v5-development-13-eeg+20-meg-10,1,20,-10,sqrt_weight_eeg_0p666667,sqrt_weight,0.07335087430694336
current15,erp-v6-localization-v5-development-13-eeg+20-meg-10,1,20,-10,sqrt_weight_eeg_0p75,sqrt_weight,0.08021925785338699
current15,erp-v6-localization-v5-development-13-eeg+20-meg-10,1,20,-10,adaptive_balance_p0p5,adaptive_balance,0.0633823705517617
current15,erp-v6-localization-v5-development-13-eeg+20-meg-10,1,20,-10,adaptive_balance_p1,adaptive_balance,0.06030324600419878
current15,erp-v6-localization-v5-development-13-eeg+20-meg-10,1,20,-10,adaptive_balance_p2,adaptive_balance,0.05963715544507329
