version,manifest_sha256,chunk_index,chunk_file,case_number,case_id,configuration_number,configuration_id,pair_index,eeg_snr_db,meg_snr_db,scenario,surface_centers,deep_index,deep_surface_ratio,correlation,method,status,error,elapsed_seconds,temporal_rank,selected_templates,has_surface_true,auc,auc_tie_corrected,surface_auc_tie_corrected,deep_auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,has_deep_true,deep_score,deep_peak_distance_mm,deep_detected,deep_false_positive,active_count,surface_active_count,deep_active_count,original_deep_detected,original_deep_false_positive,original_deep_threshold,comparison_deep_threshold,solver_converged,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized
v3,0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4598,erp-v3-development-04598-deep_plus_surface-eeg+05-meg+05,86,erp-v3-development-source-086-deep_plus_surface,24,5,5,deep_plus_surface,[1317],7498,0.5,0.0,OASTER-ERP-v3,ok,,2.3885279999958584,3,3,1,0.9774382716049383,0.9857519047786244,0.9855095068330363,1.0,0.9736984412340491,0.0,5.604759461494428,25.59412655828351,0.0,1,0.04487574098182947,0.0,0,0,18,2,16,0,0,0.125,0.14,,0.0,5.604759461494428,234.02911185627735,234.02911185627735
v4,0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4598,erp-v3-development-04598-deep_plus_surface-eeg+05-meg+05,86,erp-v3-development-source-086-deep_plus_surface,24,5,5,deep_plus_surface,[1317],7498,0.5,0.0,OASTER-ERP-v4,ok,,43.3486168999807,3,0,1,0.7010262345679013,0.9423159299181911,0.9946004159239454,0.5,1.686516256098125,5.773602604465788,8.925067057469208,nan,nan,1,0.0,nan,0,0,6,6,0,0,0,0.14,0.14,1,5.773602604465788,8.925067057469208,234.02911185627735,234.02911185627735
v5,0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4598,erp-v3-development-04598-deep_plus_surface-eeg+05-meg+05,86,erp-v3-development-source-086-deep_plus_surface,24,5,5,deep_plus_surface,[1317],7498,0.5,0.0,OASTER-ERP-v5,ok,,281.60908999992535,10,0,1,0.8825617283950618,0.9937080860924827,0.9936051693404635,1.0,1.6648589263799787,5.997957856307274,4.2852815273583476,9.298170555050497,0.0,1,1.0,0.0,1,0,6,4,2,1,0,0.14,0.14,1,5.997957856307274,4.2852815273583476,9.298170555050497,0.0
v3,0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4666,erp-v3-development-04666-deep_plus_two_surface-eeg+05-meg+05,154,erp-v3-development-source-154-deep_plus_two_surface,24,5,5,deep_plus_two_surface,"[1317, 7204]",7498,0.5,0.0,OASTER-ERP-v3,ok,,2.7397133000049507,3,4,1,0.962383090160868,0.9910787457687511,0.9908818518843403,1.0,0.690116011585501,1.948743633023293,4.059672416888804,0.0,0.0,1,1.0,0.0,1,0,20,19,1,1,0,0.125,0.14,,1.948743633023293,4.059672416888804,0.0,0.0
v4,0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4666,erp-v3-development-04666-deep_plus_two_surface-eeg+05-meg+05,154,erp-v3-development-source-154-deep_plus_two_surface,24,5,5,deep_plus_two_surface,"[1317, 7204]",7498,0.5,0.0,OASTER-ERP-v4,ok,,38.897056700021494,3,0,1,0.5699725368159712,0.9504253518617491,0.9831302717900655,0.5,1.9200957998243873,8.972866596908663,13.922088938290743,nan,nan,1,0.0,nan,0,0,7,7,0,0,0,0.14,0.14,1,8.972866596908663,13.922088938290743,234.02911185627735,234.02911185627735
v5,0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4666,erp-v3-development-04666-deep_plus_two_surface-eeg+05-meg+05,154,erp-v3-development-source-154-deep_plus_two_surface,24,5,5,deep_plus_two_surface,"[1317, 7204]",7498,0.5,0.0,OASTER-ERP-v5,ok,,451.05721510003787,10,0,1,0.7309410179233412,0.9816720114021023,0.981675984875416,0.9333333333333333,1.9281365479387316,9.280018712076263,14.189386287490997,13.8387316728972,10.00000054854849,1,1.0,10.00000054854849,1,0,10,7,3,1,0,0.14,0.14,1,9.280018712076263,14.189386287490997,13.8387316728972,10.00000054854849
v3,0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,42,eeg_+20_meg_-10.csv,7896,erp-v3-development-07896-surface_only-eeg+20-meg-10,0,erp-v3-development-source-000-surface_only,42,20,-10,surface_only,[1317],,,,OASTER-ERP-v3,ok,,2.333437400011462,3,3,1,0.9957098765432099,0.9991921617455235,0.9991904337492573,nan,0.6601229295861596,4.481057248178881,12.18186744690015,nan,nan,0,0.03721730154868372,nan,0,0,38,22,16,0,0,0.125,0.14,,4.481057248178881,12.18186744690015,nan,nan
v4,0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,42,eeg_+20_meg_-10.csv,7896,erp-v3-development-07896-surface_only-eeg+20-meg-10,0,erp-v3-development-source-000-surface_only,42,20,-10,surface_only,[1317],,,,OASTER-ERP-v4,ok,,38.723027600033674,3,0,1,0.9409259259259259,0.9969168741847505,0.9969102792632205,nan,1.1569502296248728,0.0,4.627401780579963,nan,nan,0,0.0,nan,0,0,2,2,0,0,0,0.14,0.14,0,0.0,4.627401780579963,nan,nan
v5,0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,42,eeg_+20_meg_-10.csv,7896,erp-v3-development-07896-surface_only-eeg+20-meg-10,0,erp-v3-development-source-000-surface_only,42,20,-10,surface_only,[1317],,,,OASTER-ERP-v5,ok,,332.33738879993325,10,0,1,0.6906944444444444,0.9924700581050635,0.992706476530006,nan,1.7124223032662436,12.438083367646513,18.159854029372575,nan,nan,0,0.5310923432619808,nan,0,1,4,2,2,0,1,0.14,0.14,1,12.438083367646513,18.159854029372575,nan,nan
v3,0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,42,eeg_+20_meg_-10.csv,7964,erp-v3-development-07964-deep_only-eeg+20-meg-10,68,erp-v3-development-source-068-deep_only,42,20,-10,deep_only,[],7498,,,OASTER-ERP-v3,ok,,1.6447709999920335,3,3,0,1.0,1.0,nan,1.0,0.326722064603558,nan,nan,0.0,0.0,1,1.0,0.0,1,0,458,457,1,1,0,0.125,0.14,,nan,nan,0.0,0.0
