source_index,original_4mm_grid_index,mni_x_mm,mni_y_mm,mni_z_mm,rest_beta_power,hold_beta_power,hold_vs_rest_db,rest_vs_hold_erd_db
89,7918,-18.0,-48.0,-56.0,2.938611356421809e-23,3.4145562404893553e-23,0.6519211767462689,-0.6519211767462689
90,7920,-10.0,-48.0,-56.0,2.9892174039384654e-23,3.39984887487643e-23,0.5590211068853527,-0.5590211068853527
91,7922,-2.0,-48.0,-56.0,2.8990419803467516e-23,3.228524212281518e-23,0.4674954342364588,-0.4674954342364588
92,7924,6.000000000000001,-48.0,-56.0,2.7398795652148696e-23,3.0142989583171376e-23,0.41454850172127716,-0.41454850172127716
93,7926,14.000000000000002,-48.0,-56.0,2.549016919829725e-23,2.81429499632879e-23,0.4299690029691061,-0.4299690029691061
94,7928,22.0,-48.0,-56.0,2.3503112785446776e-23,2.6296021023980193e-23,0.48764653641774525,-0.48764653641774525
95,7930,30.000000000000004,-48.0,-56.0,2.1595438877555896e-23,2.4538618815543228e-23,0.5548807980485346,-0.5548807980485346
96,7932,38.0,-48.0,-56.0,1.9631564283006858e-23,2.262287017577196e-23,0.6159279681340698,-0.6159279681340698
97,7934,46.000000000000014,-48.0,-56.0,1.8028267439315016e-23,2.098333822185253e-23,0.659205889386717,-0.659205889386717
98,7990,-34.0,-40.0,-56.0,2.475173128068476e-23,2.77068889029999e-23,0.48982181884440557,-0.48982181884440557
99,7992,-26.000000000000007,-40.0,-56.0,2.669296314575305e-23,3.044190878555601e-23,0.5707509348543309,-0.5707509348543309
100,7994,-18.0,-40.0,-56.0,2.821247705997099e-23,3.186523780246428e-23,0.5287594490728769,-0.5287594490728769
101,7996,-10.0,-40.0,-56.0,2.9030617350219294e-23,3.2232821222656466e-23,0.4544204799290209,-0.4544204799290209
102,7998,-2.0,-40.0,-56.0,2.889251150095994e-23,3.1462383527479143e-23,0.3700632599358291,-0.3700632599358291
103,8000,6.000000000000001,-40.0,-56.0,2.763872264460029e-23,2.97957658964095e-23,0.32636585642928284,-0.32636585642928284
104,8002,14.000000000000002,-40.0,-56.0,2.58469871052777e-23,2.7971216618894935e-23,0.3430143042829486,-0.3430143042829486
105,8004,22.0,-40.0,-56.0,2.43600766597991e-23,2.660015765057386e-23,0.3820555989884171,-0.3820555989884171
106,8006,30.000000000000004,-40.0,-56.0,2.2598644356907434e-23,2.5016978803766414e-23,0.4415247303438614,-0.4415247303438614
107,8008,38.0,-40.0,-56.0,2.0690039908919866e-23,2.3270740222408093e-23,0.5104886966850517,-0.5104886966850517
108,8072,-10.0,-31.999999999999993,-56.0,2.77880570409657e-23,3.0092706975008886e-23,0.34603074562793,-0.34603074562793
109,8074,-2.0,-31.999999999999993,-56.0,2.813137118679547e-23,3.027170201692403e-23,0.31845938535098434,-0.31845938535098434
110,8076,6.000000000000001,-31.999999999999993,-56.0,2.71056734772568e-23,2.902769849578794e-23,0.29752401126570116,-0.29752401126570116
111,8078,14.000000000000002,-31.999999999999993,-56.0,2.5922916038982148e-23,2.766975458548844e-23,0.2832145398761508,-0.2832145398761508
112,8080,22.0,-31.999999999999993,-56.0,2.2772969968003934e-23,2.5166288390846327e-23,0.4339949563782215,-0.4339949563782215
113,8150,-2.0,-24.000000000000004,-56.0,2.778528089755747e-23,2.9431602138455454e-23,0.24999112314989,-0.24999112314989
114,8152,6.000000000000001,-24.000000000000004,-56.0,2.513614018794944e-23,2.699781001994465e-23,0.31029947116290785,-0.31029947116290785
115,11184,-26.000000000000007,-88.0,-48.00000000000001,2.2618416725313448e-23,2.4999731531128186e-23,0.43473143547193893,-0.43473143547193893
116,11186,-18.0,-88.0,-48.00000000000001,2.2626853079399817e-23,2.628967251132132e-23,0.6516101926013739,-0.6516101926013739
117,11188,-10.0,-88.0,-48.00000000000001,1.9196583909176277e-23,2.2032136099534712e-23,0.5983265414888472,-0.5983265414888472
118,11194,14.000000000000002,-88.0,-48.00000000000001,1.7344294840597766e-23,1.9874310630705068e-23,0.5913542583917524,-0.5913542583917524
119,11196,22.0,-88.0,-48.00000000000001,1.7447726539187095e-23,1.9728216749918738e-23,0.5334898492125104,-0.5334898492125104
120,11256,-42.0,-80.0,-48.00000000000001,2.430119106121376e-23,2.654205039953724e-23,0.38306909538878964,-0.38306909538878964
121,11258,-34.0,-80.0,-48.00000000000001,2.554323758795537e-23,2.8308987687089446e-23,0.4464839657917785,-0.4464839657917785
122,11260,-26.000000000000007,-80.0,-48.00000000000001,2.588799800371961e-23,2.921650482866522e-23,0.5252979360118092,-0.5252979360118092
123,11262,-18.0,-80.0,-48.00000000000001,2.4979704153558632e-23,2.908890411051561e-23,0.6614006951900941,-0.6614006951900941
124,11264,-10.0,-80.0,-48.00000000000001,2.242127473946932e-23,2.691448336325607e-23,0.7932574739000696,-0.7932574739000696
125,11266,-2.0,-80.0,-48.00000000000001,2.184123498403737e-23,2.5071779650807262e-23,0.5990797090281795,-0.5990797090281795
126,11268,6.000000000000001,-80.0,-48.00000000000001,2.1742014441132517e-23,2.4944617589125168e-23,0.5967707055259831,-0.5967707055259831
127,11270,14.000000000000002,-80.0,-48.00000000000001,2.0438138859579714e-23,2.335018861391853e-23,0.5784904749797521,-0.5784904749797521
128,11272,22.0,-80.0,-48.00000000000001,1.9153821573725008e-23,2.218961848624483e-23,0.6389439786281261,-0.6389439786281261
129,11274,30.000000000000004,-80.0,-48.00000000000001,1.9474960239771896e-23,2.2936839022116032e-23,0.7105698689331865,-0.7105698689331865
130,11276,38.0,-80.0,-48.00000000000001,1.5026522403648138e-23,1.6983218879756877e-23,0.5316152362381036,-0.5316152362381036
131,11332,-42.0,-72.0,-48.00000000000001,2.5561684283559248e-23,2.866906705751606e-23,0.49824093957290727,-0.49824093957290727
