source_index,hemisphere,vertex,x_m,y_m,z_m,label,beta_pmbr_db
4335,right,127601,0.013600529360594513,0.06801654227808197,0.08874669426868753,superiorfrontal-rh,0.45381396547453123
4336,right,127747,0.010802252042950862,0.06218698300229197,0.07661770359685699,superiorfrontal-rh,0.19554794188674754
4337,right,127760,0.004003423389336173,0.061422407513968366,0.07446934454793105,caudalanteriorcingulate-rh,0.31253569751482896
4338,right,127886,0.005903457209494223,0.056141176134193435,0.06509455822513564,caudalanteriorcingulate-rh,0.323843251678358
4339,right,127944,0.03809172738442976,0.05507884496094499,0.059515249013608836,rostralmiddlefrontal-rh,0.5325430166161808
4340,right,127999,0.043030500757022944,0.05059744526139609,0.0521446988952173,parstriangularis-rh,0.4571340351973242
4341,right,128075,0.04713453914934967,0.04777187401374705,0.046486644360843515,parstriangularis-rh,0.3574706107544226
4342,right,128125,0.0040468769067775745,0.04524244830095614,0.0421579207167561,rostralanteriorcingulate-rh,0.44500918010973955
4343,right,128236,0.04509522566366577,0.040267316368871695,0.031529472846987504,superiortemporal-rh,0.4552835270504585
4344,right,128530,0.014242939928856953,0.06568556992618917,0.08232545677192377,superiorfrontal-rh,0.42378884674499107
4345,right,128536,0.02139046838380902,0.06526946303079818,0.08109798898643189,superiorfrontal-rh,0.5393319448305526
4346,right,128595,0.02119221310249217,0.06292281847672573,0.07456540409412848,rostralmiddlefrontal-rh,0.39205145717449325
4347,right,128663,0.035838754147298195,0.05998037730614579,0.06942279188258335,rostralmiddlefrontal-rh,0.6305027400549059
4348,right,128669,0.02109912125343572,0.059307813834463416,0.06938738864681697,rostralmiddlefrontal-rh,0.3281491375270995
4349,right,128746,0.03974698179357768,0.05678816447699096,0.0635645417623146,rostralmiddlefrontal-rh,0.6068715823049642
4350,right,128832,0.048222946993623075,0.054592631659363,0.0565262949619659,parstriangularis-rh,0.5937684815036817
4351,right,128846,-0.001906623148649618,0.05266041497699685,0.055604147018183156,unknown,0.3791587578645235
4352,right,128903,0.0386088593919383,0.05110763590969074,0.04939433742484131,parstriangularis-rh,0.41951955582586736
4353,right,128984,0.04618807156663213,0.04853491748237419,0.04506266788401842,parstriangularis-rh,0.3786528097905773
4354,right,128987,0.027262188239648624,0.048595709574849114,0.04440636666196878,lateralorbitofrontal-rh,0.40304288074035133
4355,right,129079,0.02140664822076947,0.04372468693007017,0.035928000977360125,insula-rh,0.5009459940770911
4356,right,129081,0.013156189445259724,0.04338799435462333,0.03528699335897241,lateralorbitofrontal-rh,0.5123149937123854
4357,right,129129,0.013420473476034726,0.04101494202021354,0.032819396741956185,lateralorbitofrontal-rh,0.5395213655223859
4358,right,129155,0.04174031832123373,0.04044676772918479,0.028504530209513927,superiortemporal-rh,0.5050071836736734
4359,right,129169,0.04213159532153023,0.04005572224487278,0.02648973251475541,superiortemporal-rh,0.4967717991104264
4360,right,129186,0.03417175693864111,0.038688426344672455,0.02416507507821738,superiortemporal-rh,0.4933630906123939
4361,right,129218,0.042774594629990836,0.03783194344094083,0.021027612897137844,middletemporal-rh,0.472170400136281
4362,right,129226,0.03790713104037386,0.03671519967011616,0.020464341039023642,middletemporal-rh,0.46257459073333895
4363,right,129241,0.028604386096234863,0.03656602771952,0.019582604257776023,temporalpole-rh,0.42722140125604047
4364,right,129371,0.0054744032638743036,0.06704370039449793,0.08266054465232325,superiorfrontal-rh,0.3630708167185923
4365,right,129521,0.012570057729018962,0.06172994385660015,0.0709570368195736,superiorfrontal-rh,0.19898460258828032
4366,right,129523,0.007282477279168691,0.061724698699786695,0.07069100539777579,caudalanteriorcingulate-rh,0.24931119075732605
4367,right,129584,0.036526480975855716,0.061039551938477515,0.06788877708049111,rostralmiddlefrontal-rh,0.5945435097042965
4368,right,129705,-0.001620693132953745,0.055762036397062745,0.05978959117005096,unknown,0.3428208358062105
4369,right,129834,0.048226202680487724,0.052921705848760506,0.050461091668812595,parstriangularis-rh,0.4823989914273015
4370,right,129976,0.022557511849584152,0.04722672363679084,0.03938276742706123,lateralorbitofrontal-rh,0.47019358105358355
4371,right,130117,0.037640567321960895,0.040807681968756684,0.02625219009016727,superiortemporal-rh,0.5110297424262275
4372,right,130188,0.03443258027272313,0.03779460462954798,0.01979576521403219,temporalpole-rh,0.4872422014910218
4373,right,130233,0.02145626885790065,0.035205434193903686,0.014013280080064961,entorhinal-rh,0.3013732486164809
4374,right,130273,0.006309708817695523,0.07279330875618471,0.09013255851912147,superiorfrontal-rh,0.217039942412088
4375,right,130320,0.026092910825388213,0.06820675929473231,0.08094421448501413,superiorfrontal-rh,0.6677313310708515
4376,right,130532,0.042643776486966566,0.06250899297202912,0.06722637130386329,rostralmiddlefrontal-rh,0.617938605358622
4377,right,130613,0.031230894732574645,0.05944067762680928,0.06280618407047353,rostralmiddlefrontal-rh,0.4777036327310224
4378,right,130852,0.010718567338620894,0.047766792400246796,0.037732434938400415,lateralorbitofrontal-rh,0.47764508705791353
4379,right,130917,0.0025058991131949385,0.044748633134131924,0.03497564535474236,medialorbitofrontal-rh,0.49661881066037106
4380,right,131091,0.03432943413650255,0.03647307488612665,0.01552730575871602,temporalpole-rh,0.4906927959124008
