metric,scenario,comparison,analysis_unit,configuration_count,mean_difference,mean_difference_ci95_low,mean_difference_ci95_high,median_difference,cohen_dz,wins,ties,losses,wilcoxon_statistic,wilcoxon_p,holm_adjusted_p
surface_auc_tie_corrected,all,OASTER-ERP - Dipole fitting (grid),source configuration (49 SNR cells averaged),339,0.43623043562429925,0.4305941106977211,0.44179540730371125,0.45176964530402275,8.242571572598372,339,0,0,0.0,2.5486166388219814e-57,1.784031647175387e-56
surface_auc_tie_corrected,all,OASTER-ERP - RAP-MUSIC,source configuration (49 SNR cells averaged),339,0.431372822327996,0.4256524453665494,0.436844052358622,0.4467701392998733,8.146956251437254,339,0,0,0.0,2.5486166388219814e-57,1.784031647175387e-56
surface_auc_tie_corrected,surface_only,OASTER-ERP - MNE,source configuration (49 SNR cells averaged),136,0.06093726604312812,0.05136947038132949,0.07044706761068883,0.050833418426589116,1.050722065198323,125,0,11,400.0,2.2635737314713218e-20,9.054294925885287e-20
surface_auc_tie_corrected,surface_only,OASTER-ERP - dSPM,source configuration (49 SNR cells averaged),136,0.04521997367517001,0.03790938048344187,0.05245068313672253,0.04683058859112704,1.0486816035330753,123,0,13,592.0,1.0276672849645603e-18,2.0553345699291206e-18
surface_auc_tie_corrected,surface_only,OASTER-ERP - sLORETA,source configuration (49 SNR cells averaged),136,0.0636049955192367,0.05361589284076505,0.07392811586051458,0.055213366465681646,1.0561012654456992,125,0,11,417.0,3.195413126784349e-20,9.586239380353046e-20
surface_auc_tie_corrected,surface_only,OASTER-ERP - eLORETA,source configuration (49 SNR cells averaged),136,0.05006932136588224,0.04066203357283346,0.05938542370891583,0.04261142955029601,0.8871438589447056,120,0,16,684.0,6.017332111697875e-18,6.017332111697875e-18
surface_auc_tie_corrected,surface_only,OASTER-ERP - LCMV,source configuration (49 SNR cells averaged),136,0.2971950525851599,0.2613550832749485,0.33376146210482865,0.22723523005746576,1.370682279411117,133,0,3,15.0,6.4101804836757894e-24,3.2184755944635145e-23
surface_auc_tie_corrected,surface_only,OASTER-ERP - Dipole fitting (grid),source configuration (49 SNR cells averaged),136,0.45342161460995317,0.4481159066370131,0.4583453631579048,0.4587196471845647,14.684742707362902,136,0,0,0.0,4.597822277805021e-24,3.2184755944635145e-23
surface_auc_tie_corrected,surface_only,OASTER-ERP - RAP-MUSIC,source configuration (49 SNR cells averaged),136,0.4474509726812104,0.44172407102282596,0.4527686878490606,0.45355735512107875,13.714788316647068,136,0,0,0.0,4.597822277805021e-24,3.2184755944635145e-23
surface_auc_tie_corrected,deep_plus_surface,OASTER-ERP - MNE,source configuration (49 SNR cells averaged),136,0.06055120895827179,0.0504857712055062,0.07044168440893199,0.04892386830543155,0.9982004579484218,127,0,9,475.0,1.0255838212606654e-19,4.1023352850426614e-19
surface_auc_tie_corrected,deep_plus_surface,OASTER-ERP - dSPM,source configuration (49 SNR cells averaged),136,0.04395950158748172,0.03584566039982555,0.051813780816207994,0.04190250424066,0.933117045186512,123,0,13,638.0,2.4990206400252677e-18,4.9980412800505355e-18
surface_auc_tie_corrected,deep_plus_surface,OASTER-ERP - sLORETA,source configuration (49 SNR cells averaged),136,0.06438283698601382,0.05387101194515012,0.07520699084484349,0.056417639920275375,1.0157903135121646,125,0,11,502.0,1.7555157144703552e-19,5.266547143411065e-19
