case_id,development_role,label_posthoc,eeg_snr_db_posthoc_not_used,meg_snr_db_posthoc_not_used,old_fixed_3_to_1_score,eeg_gain,meg_gain,eeg_response_excess,meg_response_excess,cross_modal_consensus,snr_blind_consensus
erp-v6-hierarchical-v1-surface-calibration-003-eeg-10-meg-10,pure_deep_H1,1,-10,-10,0.0443843454697022,0.03134780524733712,0.08349396613679744,0.02479742651838923,0.1431483347026956,0.08250787356027126,0.07979391014906406
erp-v6-hierarchical-v1-surface-calibration-004-eeg-10-meg-10,pure_deep_H1,1,-10,-10,0.024237148603524227,0.02556434443455766,0.020255561110423922,0.06438569633394864,0.06767874265755824,0.04301122284420149,0.042312787904159405
erp-v6-hierarchical-v1-surface-calibration-005-eeg-10-meg-10,pure_deep_H1,1,-10,-10,0.010598796459112964,0.011243166815652437,0.008665685389494538,0.0,0.038441337749642424,0.01853633614848957,0.018362356067038295
erp-v6-hierarchical-v1-surface-calibration-006-eeg-10-meg-10,pure_deep_H1,1,-10,-10,0.027719269826722844,0.008681126854722818,0.08483369874272292,0.046123424766711274,0.01032242334674871,0.03581877782788034,0.03541726585769304
erp-v6-hierarchical-v1-surface-calibration-007-eeg-10-meg-10,pure_deep_H1,1,-10,-10,0.030297734791712508,0.014801268500230284,0.07678713366615918,0.0,0.03424256443176743,0.04851398098018203,0.04810733641901585
erp-v6-hierarchical-v1-surface-calibration-008-eeg-10-meg-10,pure_deep_H1,1,-10,-10,0.02249168743033199,0.01707114850354393,0.03875330421069616,0.09522456799250234,0.04359728391703044,0.04279202351167319,0.04182991953689446
erp-v6-hierarchical-v1-surface-calibration-009-eeg-10-meg-10,pure_deep_H1,1,-10,-10,0.04180179079651474,0.03981328273343547,0.04776731498575255,0.0020440993084880343,0.07232440194365708,0.08342261220483224,0.08197892848232574
erp-v6-hierarchical-v1-surface-calibration-010-eeg-10-meg-10,pure_deep_H1,1,-10,-10,0.011893706425264005,0.01202127778697071,0.01151099234014389,0.029008313036788413,0.03302702605335295,0.023274360757589707,0.023086061101982448
erp-v6-hierarchical-v1-surface-calibration-011-eeg-10-meg-10,pure_deep_H1,1,-10,-10,0.03061431471268738,0.012612597688176616,0.08461946578621968,0.0,0.04163228481262138,0.04528171580529167,0.04482231327285918
erp-v6-hierarchical-v1-surface-calibration-012-eeg-10-meg-10,pure_deep_H1,1,-10,-10,0.017826448926461715,0.010990908632404596,0.038333069808633075,0.07820265988492126,0.0,0.03151687433115488,0.03092915395249807
erp-v6-hierarchical-v1-surface-calibration-013-eeg-10-meg-10,pure_deep_H1,1,-10,-10,0.03782800328070586,0.039712056004953485,0.032175845107962994,0.18248843030761863,0.08972829192009146,0.06792173945870117,0.06513427365893093
erp-v6-hierarchical-v1-surface-calibration-014-eeg-10-meg-10,pure_deep_H1,1,-10,-10,0.03984093175375607,0.033963580169091956,0.057472986507748396,0.05154725343380995,0.05577722729905443,0.07814489278894349,0.07709168303674796
erp-v6-hierarchical-v1-surface-calibration-015-eeg-10-meg-10,pure_deep_H1,1,-10,-10,0.028208057849840908,0.02078347964016041,0.050481792478882404,0.0,0.09891575727140878,0.05317464056692645,0.05193539784032912
erp-v6-hierarchical-v1-surface-calibration-016-eeg-10-meg-10,pure_deep_H1,1,-10,-10,0.021458334266555766,0.020069567466158296,0.025624634667748176,0.0,0.0,0.042747206987502465,0.042747206987502465
erp-v6-hierarchical-v1-surface-calibration-017-eeg-10-meg-10,pure_deep_H1,1,-10,-10,0.01915249925304415,0.01762509440285438,0.02373471380361347,0.021305457540113037,0.10592771217726926,0.03807812770878283,0.037131620310460876
erp-v6-hierarchical-v1-surface-calibration-018-eeg-10-meg-10,pure_deep_H1,1,-10,-10,0.01416230236605023,0.0069708446003272926,0.03573667566321904,0.0,0.1361150122085335,0.022754215994950124,0.022039731616661017
erp-v6-hierarchical-v1-surface-calibration-019-eeg-10-meg+20,pure_deep_H1,1,-10,20,0.4177718819561406,0.004498378975989733,1.6575923908965933,0.0,96.43718062338748,0.09084928378867708,0.028916140791212616
erp-v6-hierarchical-v1-surface-calibration-020-eeg-10-meg+20,pure_deep_H1,1,-10,20,0.30549214864967233,0.027130459353485875,1.1405772165382317,0.1293413932821521,43.71419532554067,0.20304061770939935,0.07851842347986963
erp-v6-hierarchical-v1-surface-calibration-021-eeg-10-meg+20,pure_deep_H1,1,-10,20,0.8354311297553115,0.008294148736401281,3.3168420728120425,0.03763391886232692,78.99785375826283,0.1741566866618069,0.05823318845019042
erp-v6-hierarchical-v1-surface-calibration-022-eeg-10-meg+20,pure_deep_H1,1,-10,20,0.27905013395312667,0.016085789441795232,1.067943167487121,0.02768258874682794,61.62607875171086,0.14715336334167972,0.05230959864678186
erp-v6-hierarchical-v1-surface-calibration-023-eeg-10-meg+20,pure_deep_H1,1,-10,20,0.2530077926824582,0.01103694082260222,0.9789203482620261,0.04219275311732806,46.610163366126976,0.11498060803619026,0.04377233184469425
