method,eeg_snr_db,meg_snr_db,scenario,aggregation,case_count,scenario_count,auc,auc_tie_corrected,surface_auc_tie_corrected,deep_auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,deep_score,deep_peak_distance_mm,active_count,surface_active_count,deep_active_count,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized,deep_sensitivity,deep_specificity,deep_balanced_accuracy
LCMV,20,20,surface_only,case_weighted_within_scenario,1,1,0.3370679012345679,0.46925026680896476,0.4702540106951872,nan,1.9983041119146712,60.94718712557814,59.01504955610588,nan,nan,0.4439337095576342,nan,1675.0,1659.0,16.0,60.94718712557814,59.01504955610588,nan,nan,nan,0.0,nan
MNE,-10,-10,deep_only,case_weighted_within_scenario,1,1,0.55,0.9036337015839212,nan,0.9333333333333333,1.979815185440961,nan,nan,24.90106742003579,14.142136031724077,0.22077653358308624,14.142136031724077,117.0,101.0,16.0,nan,nan,234.02911185627735,234.02911185627735,0.0,nan,nan
MNE,-10,-10,deep_plus_surface,case_weighted_within_scenario,1,1,0.7678395061728395,0.7623187388083283,0.7576128936423054,1.0,1.957437551907238,77.52882549982884,124.50762484013009,24.579816110393928,0.0,0.26007505538720255,0.0,240.0,224.0,16.0,77.52882549982884,124.50762484013009,24.579816110393928,0.0,1.0,nan,nan
MNE,-10,-10,deep_plus_two_surface,case_weighted_within_scenario,1,1,0.703669778594021,0.5886290753607696,0.5803389642707096,0.9333333333333333,1.9543459391537907,54.3918302711105,34.322684684125896,24.57006042979575,20.000001097096984,0.1873589863357032,20.000001097096984,127.0,111.0,16.0,54.3918302711105,34.322684684125896,234.02911185627735,234.02911185627735,0.0,nan,nan
MNE,-10,-10,surface_only,case_weighted_within_scenario,1,1,0.5181790123456791,0.6835497450492114,0.6831105169340463,nan,1.95277924534079,76.71951126835079,124.50762484013009,nan,nan,0.26682334851852657,nan,523.0,507.0,16.0,76.71951126835079,124.50762484013009,nan,nan,nan,0.0,nan
MNE,-10,20,deep_only,case_weighted_within_scenario,1,1,1.0,1.0,nan,1.0,1.8471054597436132,nan,nan,12.617808432446742,0.0,1.0,0.0,452.0,445.0,7.0,nan,nan,12.617808432446742,0.0,1.0,nan,nan
MNE,-10,20,deep_plus_surface,case_weighted_within_scenario,1,1,0.8494444444444444,0.91850005266669,0.919726678550208,0.7333333333333334,1.9033310170172546,26.739797790830213,26.223786202013184,18.026219664272976,14.142136031724077,0.24519764185153153,14.142136031724077,297.0,288.0,9.0,26.739797790830213,26.223786202013184,234.02911185627735,234.02911185627735,0.0,nan,nan
MNE,-10,20,deep_plus_two_surface,case_weighted_within_scenario,1,1,0.8445556575859606,0.8803046499198289,0.8819719207205876,0.7333333333333334,1.8617985242812165,28.222440976839852,26.54883573630078,19.510693695693426,14.142136031724077,0.3314658460702526,14.142136031724077,565.0,555.0,10.0,28.222440976839852,26.54883573630078,234.02911185627735,234.02911185627735,0.0,nan,nan
MNE,-10,20,surface_only,case_weighted_within_scenario,1,1,0.7420987654320987,0.8901636428317325,0.8902777777777776,nan,1.8995556537326794,28.264954479505466,45.1544855186095,nan,nan,0.2857398120241825,nan,349.0,340.0,9.0,28.264954479505466,45.1544855186095,nan,nan,nan,0.0,nan
MNE,5,5,deep_only,case_weighted_within_scenario,1,1,0.99,0.9994675895115134,nan,1.0,1.8966630429987474,nan,nan,15.21642966987391,0.0,1.0,0.0,447.0,438.0,9.0,nan,nan,15.21642966987391,0.0,1.0,nan,nan
