method,eeg_snr_db,meg_snr_db,aggregation,case_count,scenario_count,auc,auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,deep_score,deep_peak_distance_mm,active_count,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized,deep_sensitivity,deep_specificity,deep_balanced_accuracy
RAP-MUSIC,-10,-10,case_weighted,186,4,0.5521939045848034,0.5565379511502134,1.6706111016214784,12.855414960959505,11.477068998411772,0.0,0.0,0.07526881720430108,0.0,1.7849462365591398,12.855414960959505,11.477068998411772,206.26294604282072,206.26294604282072,0.11864406779661017,1.0,0.559322033898305
RAP-MUSIC,-10,-5,case_weighted,186,4,0.5588652811425225,0.563967932230651,1.5959382705324936,8.749304781668146,9.24062142489722,0.5882352587855031,0.5882352587855032,0.0913978494623656,0.5882352587855032,1.9408602150537635,8.749304781668146,9.24062142489722,200.39779912613022,200.39779912613022,0.1440677966101695,1.0,0.5720338983050848
RAP-MUSIC,-10,0,case_weighted,186,4,0.575818700047599,0.5698007620345191,1.51183970957856,5.298211526219115,7.62426832562793,0.7142856713823965,0.7142856713823965,0.13656770002207558,0.7142856713823965,2.0376344086021505,5.298211526219115,7.62426832562793,178.66627174460737,178.66627174460737,0.23728813559322035,1.0,0.6186440677966102
RAP-MUSIC,-10,5,case_weighted,186,4,0.5806882522058897,0.5698308614563281,1.492262481700682,5.684159906914442,8.714389399606429,1.2982981120257737,1.2982981120257737,0.16385960756723789,1.2982981120257737,2.1021505376344085,5.684159906914442,8.714389399606429,166.97108077742521,166.97108077742521,0.2796610169491525,0.9852941176470589,0.6324775672981057
RAP-MUSIC,-10,10,case_weighted,186,4,0.597687635651594,0.5704120387750693,1.4261510155692683,5.482946584209989,8.77346608817362,0.8828427003866105,0.8828427003866105,0.22238003727679906,0.8828427003866105,2.1344086021505375,5.482946584209989,8.77346608817362,135.23831984106943,135.23831984106943,0.4152542372881356,1.0,0.7076271186440678
RAP-MUSIC,-10,15,case_weighted,186,4,0.6088463373855442,0.5713725827471567,1.4008215625889104,4.573653643091098,8.577347090268931,0.17543859980525142,0.17543859980525142,0.2380496129320188,0.17543859980525142,2.075268817204301,4.573653643091098,8.577347090268931,121.06589680865949,121.06589680865949,0.4830508474576271,1.0,0.7415254237288136
RAP-MUSIC,-10,20,case_weighted,186,4,0.5991664140875458,0.5694315578841228,1.4270067269167805,5.6400662507483945,8.95509708766943,0.0,0.0,0.20609653746108086,0.0,2.10752688172043,5.6400662507483945,8.95509708766943,138.8308290672832,138.8308290672832,0.4067796610169492,0.9852941176470589,0.696036889332004
RAP-MUSIC,-5,-10,case_weighted,186,4,0.5586084610184157,0.5629256746354505,1.6258065838626408,7.3681873041082095,9.347450028104841,0.0,0.0,0.08602150537634409,0.0,1.6720430107526882,7.3681873041082095,9.347450028104841,202.29635092661263,202.29635092661263,0.13559322033898305,1.0,0.5677966101694916
RAP-MUSIC,-5,-5,case_weighted,186,4,0.5641331307201749,0.5658462858484138,1.5489939400915604,5.622914186049598,8.089252393183568,0.4999999699676777,0.4999999699676777,0.10278871677331133,0.4999999699676777,1.7795698924731183,5.622914186049598,8.089252393183568,194.4479064518181,194.4479064518181,0.1694915254237288,1.0,0.5847457627118644
RAP-MUSIC,-5,0,case_weighted,186,4,0.5697457759461636,0.5700969685861111,1.5038007640889313,4.857029212765978,7.572627329882498,0.8695651651611785,0.8695651651611785,0.12021649477925739,0.8695651651611785,1.9946236559139785,4.857029212765978,7.572627329882498,188.5827595351276,188.5827595351276,0.19491525423728814,1.0,0.597457627118644
