method,eeg_snr_db,meg_snr_db,scenario,aggregation,case_count,scenario_count,auc,auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,deep_score,deep_peak_distance_mm,active_count,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized,deep_sensitivity,deep_specificity,deep_balanced_accuracy
MNE,0,-5,surface_only,case_weighted_within_scenario,68,1,0.7931183520161786,0.876844304845938,1.8666593283570005,64.75737878309002,37.152658638166,nan,nan,0.22512308173723647,nan,1207.8676470588234,64.75737878309002,37.152658638166,nan,nan,nan,0.1323529411764706,nan
MNE,0,0,deep_only,case_weighted_within_scenario,16,1,0.825,0.9680636896046851,1.953503652525269,nan,nan,19.537472399098625,10.76295451546768,0.5141263099794839,7.46425645060963,191.4375,nan,nan,19.537472399098625,10.76295451546768,0.625,nan,nan
MNE,0,0,deep_plus_surface,case_weighted_within_scenario,68,1,0.692587379054013,0.8860600975638498,1.8685709560287571,53.580097834469605,40.41186497847317,23.185145511421986,21.775352972699462,0.2514574028096577,19.768404206585195,493.61764705882354,53.580097834469605,40.41186497847317,23.185145511421986,21.775352972699462,0.27941176470588236,nan,nan
MNE,0,0,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.7880302864018507,0.8257386731800863,1.8669306857913064,40.71173130984473,38.70966968964445,23.63559098854392,20.64871315201512,0.2503074576288683,20.116448698353235,692.1470588235294,40.71173130984473,38.70966968964445,23.63559098854392,20.64871315201512,0.29411764705882354,nan,nan
MNE,0,0,surface_only,case_weighted_within_scenario,68,1,0.8308396759727993,0.9117891151895158,1.8380573901567325,51.15394578220392,38.438848382991715,nan,nan,0.23029856514841307,nan,488.05882352941177,51.15394578220392,38.438848382991715,nan,nan,nan,0.08823529411764706,nan
MNE,0,5,deep_only,case_weighted_within_scenario,16,1,0.923125,0.986465127113004,1.9402405999693455,nan,nan,17.919375780022875,7.464256457992667,0.6023640329548776,7.464256457992667,188.625,nan,nan,17.919375780022875,7.464256457992667,0.625,nan,nan
MNE,0,5,deep_plus_surface,case_weighted_within_scenario,68,1,0.7374467319898252,0.9135941137594855,1.8410245273519192,43.90140551005666,40.86674379656643,22.61933704653833,19.35423965099534,0.22078517104328385,18.979578949095956,252.48529411764707,43.90140551005666,40.86674379656643,22.61933704653833,19.35423965099534,0.2647058823529412,nan,nan
MNE,0,5,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.8139316990315252,0.8581699682195703,1.8395432421181528,33.95064809817061,33.71589118868708,23.46770651040899,20.513674043867837,0.22590664933881416,19.4228234066408,319.7647058823529,33.95064809817061,33.71589118868708,23.46770651040899,20.513674043867837,0.29411764705882354,nan,nan
MNE,0,5,surface_only,case_weighted_within_scenario,68,1,0.8461664851740993,0.928776691206336,1.8063748673404483,42.10402326036949,30.85341463039051,nan,nan,0.19955607343481682,nan,265.70588235294116,42.10402326036949,30.85341463039051,nan,nan,nan,0.14705882352941177,nan
MNE,0,10,deep_only,case_weighted_within_scenario,16,1,0.96875,0.9944013709570079,1.920483848696553,nan,nan,15.590586097588023,7.464256457992667,0.7865334477576575,7.464256457992667,262.5625,nan,nan,15.590586097588023,7.464256457992667,0.625,nan,nan
