method,eeg_snr_db,meg_snr_db,aggregation,case_count,scenario_count,auc,auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized,deep_score,deep_peak_distance_mm,active_count,deep_sensitivity,deep_specificity,deep_balanced_accuracy
eLORETA,0,10,scenario_macro,186,4,0.8999023929298147,0.9486035349152744,1.8139441007783517,20.121207051708726,9.385514997227583,20.3742881014294,11.841940568559883,20.121207051708726,9.385514997227583,20.3742881014294,11.841940568559883,0.45670221428174745,12.103586991451975,927.0036764705882,0.5490196078431372,0.14705882352941177,0.3480392156862745
eLORETA,0,15,scenario_macro,186,4,0.9040261934818231,0.9491359137537605,1.7931672281088222,19.484360875042864,8.287652014232128,19.53624048704717,13.040663851100307,19.484360875042864,8.287652014232128,19.53624048704717,13.040663851100307,0.45639990548824444,13.052558004029102,657.4558823529412,0.4901960784313726,0.16176470588235295,0.32598039215686275
eLORETA,0,20,scenario_macro,186,4,0.9018186529292381,0.9461439438503108,1.7876293712663722,20.3291841198303,8.307700974922474,18.960400440892403,12.549034337587978,20.3291841198303,8.307700974922474,18.960400440892403,12.549034337587978,0.4679326356778052,12.666905363189583,669.1966911764706,0.5490196078431372,0.07352941176470588,0.3112745098039215
eLORETA,5,-10,scenario_macro,186,4,0.7842701167917037,0.8829450922069766,1.8916138623329082,46.43419632043344,20.143248256968572,22.467384710478417,14.227773964273434,46.43419632043344,20.143248256968572,22.467384710478417,14.227773964273434,0.4503989861790742,12.3943299644962,4196.066176470588,0.573529411764706,0.014705882352941176,0.29411764705882354
eLORETA,5,-5,scenario_macro,186,4,0.8310641094223716,0.9092213764902358,1.8731143329459445,39.25238100941747,14.446565281392978,22.115311010802376,13.215999457111328,39.25238100941747,14.446565281392978,22.115311010802376,13.215999457111328,0.45382264357877816,11.647599561729413,3700.2987132352937,0.5833333333333334,0.058823529411764705,0.32107843137254904
eLORETA,5,0,scenario_macro,186,4,0.8531442658592406,0.9261749789369376,1.8492701382371513,32.436484536326795,9.942252746675663,21.71008400615779,11.85476654409986,32.436484536326795,9.942252746675663,21.71008400615779,11.85476654409986,0.4478433068027808,11.8555354695882,2934.5487132352946,0.5833333333333334,0.08823529411764706,0.3357843137254902
eLORETA,5,5,scenario_macro,186,4,0.8794649433632657,0.9395182635817488,1.8204542943503552,22.499920924746608,9.341907505092879,21.125771445654546,11.311175351491542,22.499920924746608,9.341907505092879,21.125771445654546,11.311175351491542,0.44459094485057726,11.038917950189775,1590.3363970588236,0.5931372549019608,0.16176470588235295,0.37745098039215685
eLORETA,5,10,scenario_macro,186,4,0.9028185647991586,0.949583593119905,1.7930596875089628,18.711945962362233,9.295451774142263,20.562043096561023,11.450215311555537,18.711945962362233,9.295451774142263,20.562043096561023,11.450215311555537,0.4451246898975189,11.692382924385832,690.2205882352941,0.5735294117647058,0.19117647058823528,0.38235294117647056
eLORETA,5,15,scenario_macro,186,4,0.9101755194183498,0.9523820191374794,1.775011620921069,18.48858262610079,8.96062492121367,19.629237895681754,12.750027273039,18.48858262610079,8.96062492121367,19.629237895681754,12.750027273039,0.44906906289195536,12.826919543836482,579.8694852941177,0.5392156862745098,0.19117647058823528,0.36519607843137253
eLORETA,5,20,scenario_macro,186,4,0.9083621937610067,0.9500977069734271,1.7718992807683425,19.150926802217928,8.592026562008984,18.920304729811047,11.73151947944897,19.150926802217928,8.592026562008984,18.920304729811047,11.73151947944897,0.4557388991592181,11.73151947944897,596.9310661764706,0.5637254901960784,0.1323529411764706,0.3480392156862745
eLORETA,10,-10,scenario_macro,186,4,0.841268443654985,0.9185320363111129,1.856295873124647,34.274940118779035,12.92026200447701,22.005655511718135,12.745148454967676,34.274940118779035,12.92026200447701,22.005655511718135,12.745148454967676,0.4568392164905772,12.18521930260784,3250.3272058823527,0.5686274509803922,0.07352941176470588,0.32107843137254904
eLORETA,10,-5,scenario_macro,186,4,0.8556445887664739,0.9266637549281025,1.8407851639368056,29.53256375997961,10.893453854978617,21.707958708756234,12.277621874365883,29.53256375997961,10.893453854978617,21.707958708756234,12.277621874365883,0.4483130205671635,11.65824800125678,2784.7895220588234,0.5784313725490197,0.1323529411764706,0.3553921568627451
eLORETA,10,0,scenario_macro,186,4,0.8729095540184343,0.9362545502351589,1.819318905380897,24.11056662639488,10.403532086968792,21.380407081259676,11.440128725050172,24.11056662639488,10.403532086968792,21.380407081259676,11.440128725050172,0.44282990542758865,11.277803686539405,2032.1645220588234,0.6029411764705882,0.14705882352941177,0.375
eLORETA,10,5,scenario_macro,186,4,0.8918957153369107,0.9448762265983661,1.7957238963955113,19.545503044184446,10.618520924222425,20.95263048159821,11.515320295804157,19.545503044184446,10.618520924222425,20.95263048159821,11.515320295804157,0.438788431726921,10.985381148004706,990.3226102941176,0.5833333333333334,0.17647058823529413,0.37990196078431376
eLORETA,10,10,scenario_macro,186,4,0.9072703321860838,0.9500900265500094,1.7734035428143158,17.851929439025863,9.655826623672484,20.453825994172295,11.458518128879042,17.851929439025863,9.655826623672484,20.453825994172295,11.458518128879042,0.44040715713236167,11.458518117612426,573.6295955882354,0.5735294117647058,0.22058823529411764,0.39705882352941174
eLORETA,10,15,scenario_macro,186,4,0.9126297813280603,0.9531016838455812,1.7590453361713885,17.92939939625113,9.651194639475053,19.916581673575532,11.664959794040646,17.92939939625113,9.651194639475053,19.916581673575532,11.664959794040646,0.4413617079782013,11.685264385375797,533.0735294117646,0.553921568627451,0.20588235294117646,0.3799019607843137
eLORETA,10,20,scenario_macro,186,4,0.9130794853391127,0.9527113888171775,1.75591854848723,18.286118463677564,9.01264394283868,19.376299567137746,12.251442608446807,18.286118463677564,9.01264394283868,19.376299567137746,12.251442608446807,0.44609433611640475,12.317149635047349,536.2610294117646,0.5196078431372549,0.19117647058823528,0.3553921568627451
eLORETA,15,-10,scenario_macro,186,4,0.8750178576873671,0.9328433539829727,1.8220282547037836,25.33127130447672,10.871038400289626,21.807182034708557,12.598130399400928,25.33127130447672,10.871038400289626,21.807182034708557,12.598130399400928,0.4539534229782533,12.88444502245622,2284.776654411765,0.5245098039215687,0.10294117647058823,0.3137254901960784
eLORETA,15,-5,scenario_macro,186,4,0.8830910604110739,0.9370905925289483,1.8104754648854433,22.690947264618917,10.788956843925497,21.520054216297144,11.61770173324174,22.690947264618917,10.788956843925497,21.520054216297144,11.61770173324174,0.44689018070201486,11.832752624353278,1809.6378676470588,0.5686274509803921,0.10294117647058823,0.33578431372549017
eLORETA,15,0,scenario_macro,186,4,0.8915675290031808,0.9427675330402987,1.7935369136094623,19.988547490566592,10.974297196789705,21.13470281015911,11.609772927091745,19.988547490566592,10.974297196789705,21.13470281015911,11.609772927091745,0.4422349855062321,11.785034052953469,1170.0376838235293,0.5882352941176471,0.19117647058823528,0.3897058823529412
eLORETA,15,5,scenario_macro,186,4,0.9036576694456759,0.9483568436748899,1.774878780392728,18.18708156024434,10.969798044649963,20.830598511866494,11.200659532278394,18.18708156024434,10.969798044649963,20.830598511866494,11.200659532278394,0.4383916000603953,11.334977433894153,644.6102941176471,0.5882352941176471,0.17647058823529413,0.3823529411764706
eLORETA,15,10,scenario_macro,186,4,0.9109220291085631,0.9516376754322287,1.7581956770741505,17.590387342803158,10.492120909719302,20.478292266632135,11.161769505134862,17.590387342803158,10.492120909719302,20.478292266632135,11.161769505134862,0.4376876502587866,11.24234346838775,538.5036764705882,0.5980392156862745,0.22058823529411764,0.40931372549019607
eLORETA,15,15,scenario_macro,186,4,0.9149053654288015,0.9533193724458722,1.7463919638524372,17.53399888444844,9.468280467703124,20.262971457384154,11.307979201690387,17.53399888444844,9.468280467703124,20.262971457384154,11.307979201690387,0.436526057281957,11.28767461035524,510.0900735294118,0.5833333333333334,0.23529411764705882,0.40931372549019607
eLORETA,15,20,scenario_macro,186,4,0.9173326394620259,0.9549666161043625,1.7429525227566725,17.733099608171297,9.206644731796272,19.632675887224732,12.218861444459591,17.733099608171297,9.206644731796272,19.632675887224732,12.218861444459591,0.4415424965252393,12.218861444459591,504.89889705882354,0.5392156862745098,0.19117647058823528,0.36519607843137253
eLORETA,20,-10,scenario_macro,186,4,0.8910457588570427,0.937174892255155,1.7985948174293056,22.23600250954676,11.141759818669078,21.908716708654207,13.592346321697411,22.23600250954676,11.141759818669078,21.908716708654207,13.592346321697411,0.45919146272209704,13.706436708724333,1141.0670955882351,0.5,0.058823529411764705,0.27941176470588236
eLORETA,20,-5,scenario_macro,186,4,0.8969948995760327,0.9411774450946859,1.7894746220064315,20.717404675784127,11.094913177483166,21.568175554985377,12.933013672744094,20.717404675784127,11.094913177483166,21.568175554985377,12.933013672744094,0.4511796284739635,13.108274803806447,908.2601102941177,0.5147058823529412,0.11764705882352941,0.31617647058823534
eLORETA,20,0,scenario_macro,186,4,0.9016098326705639,0.9442520500427833,1.7767572122471533,19.22197820562948,10.86771427088523,21.170627726956656,11.84084279316761,19.22197820562948,10.86771427088523,21.170627726956656,11.84084279316761,0.4438191053204755,11.881451966969061,693.3014705882352,0.573529411764706,0.17647058823529413,0.37500000000000006
eLORETA,20,5,scenario_macro,186,4,0.9081577385197594,0.9477583375824432,1.7619973873780737,18.227201170351524,10.979782326204955,20.76537615204022,10.792157033943225,18.227201170351524,10.979782326204955,20.76537615204022,10.792157033943225,0.4387698184830207,10.722832837709284,578.34375,0.5931372549019608,0.17647058823529413,0.38480392156862747
eLORETA,20,10,scenario_macro,186,4,0.9122697325191857,0.9522502535311603,1.7484716386169006,17.629401030926886,10.97108661890327,20.448892970594002,11.292610280796737,17.629401030926886,10.97108661890327,20.448892970594002,11.292610280796737,0.43643135219497764,11.148390780070853,527.5101102941177,0.5882352941176471,0.17647058823529413,0.3823529411764706
eLORETA,20,15,scenario_macro,186,4,0.9153217156538844,0.954055014638669,1.7390203622504237,17.40181764675033,10.654804268927778,20.306100584356482,11.31640068371324,17.40181764675033,10.654804268927778,20.306100584356482,11.31640068371324,0.4365301285945813,11.336705275048393,501.8501838235294,0.5735294117647058,0.23529411764705882,0.40441176470588236
eLORETA,20,20,scenario_macro,186,4,0.9170932793667443,0.9545205273879026,1.7353314557395392,17.45555589406268,10.508960877772749,20.076138616296575,11.843390141764651,17.45555589406268,10.508960877772749,20.076138616296575,11.843390141764651,0.43691369092941773,11.843390141764651,495.57996323529414,0.5637254901960784,0.23529411764705882,0.39950980392156865
sLORETA,-10,-10,scenario_macro,186,4,0.7312013143924196,0.7749060545023647,1.9564359378797074,61.30646404329888,62.47782856840947,23.514715826780066,18.510975542954707,61.30646404329888,62.47782856840947,23.514715826780066,18.510975542954707,0.5409297377502238,18.069998880757346,2852.7555147058824,0.3958333333333333,0.0,0.19791666666666666
sLORETA,-10,-5,scenario_macro,186,4,0.7807845197789027,0.8122322577300939,1.9424422293892594,58.433442529826294,46.124495384808824,23.199725305107805,16.108762154894354,58.433442529826294,46.124495384808824,23.199725305107805,16.108762154894354,0.5992514494331544,14.570714691341564,2560.3363970588234,0.5049019607843137,0.0,0.25245098039215685
sLORETA,-10,0,scenario_macro,186,4,0.8236039222763754,0.8489555514245001,1.9233723903694329,54.33340394184946,31.88827546140939,22.700265988394808,14.115807316681554,54.33340394184946,31.88827546140939,22.700265988394808,14.115807316681554,0.6032352619761938,13.78366509495435,2068.2784926470586,0.5392156862745098,0.0,0.2696078431372549
