source_index,mni_x_mm,mni_y_mm,mni_z_mm,DICS_erd_db,LCMV_erd_db,MNE_erd_db,dSPM_erd_db,sLORETA_erd_db,eLORETA_erd_db
2237,14.000000000000002,-88.0,16.000000000000007,-0.14930432223797246,-0.14873119559410514,-0.07099610275495499,-0.07099610275493637,-0.07099610275492607,-0.022730561212073216
2238,22.0,-88.0,16.000000000000007,-0.20573120300409445,-0.2135562936349476,-0.11041829838103957,-0.11041829838096588,-0.11041829838098913,-0.07105388978486105
2239,30.000000000000004,-88.0,16.000000000000007,-0.23114849612215277,-0.23117204701909974,-0.06491302459991162,-0.06491302459985485,-0.06491302459988617,-0.06727528355750044
2240,38.0,-88.0,16.000000000000007,-0.2201210140407992,-0.2157375044177572,-0.020403723700286217,-0.020403723700266843,-0.020403723700280887,-0.06320672258869092
2241,-50.000000000000014,-80.0,16.000000000000007,-0.009607180688121192,0.039688651664033625,0.06735551762664577,0.06735551762658121,0.06735551762662012,-0.019673358170644382
2242,-42.0,-80.0,16.000000000000007,-0.1656291734728158,-0.13914441200099498,0.10903452602170667,0.1090345260216098,0.1090345260216446,0.08672039326194916
2243,-34.0,-80.0,16.000000000000007,-0.24598649736683506,-0.2080630249971259,0.04952859493498282,0.04952859493495136,0.04952859493494946,0.0446154212389177
2244,-26.000000000000007,-80.0,16.000000000000007,-0.37459578502121815,-0.33927236631688446,-0.005895375771877439,-0.005895375771880336,-0.005895375771875991,-0.041393769701045836
2245,-18.0,-80.0,16.000000000000007,-0.36592743186781784,-0.3233596884728357,-0.027695565903779806,-0.027695565903850167,-0.02769556590381135,-0.03905819469445172
2246,-10.0,-80.0,16.000000000000007,-0.27296667435846594,-0.214065023497993,0.016016060969553193,0.016016060969634857,0.01601606096960411,0.015629074981521423
2247,-2.0,-80.0,16.000000000000007,-0.17127499039252456,-0.11164840050601096,0.02692698594789828,0.026926985948018074,0.026926985947979744,0.013004627216128863
2248,6.000000000000001,-80.0,16.000000000000007,-0.10930835387064458,-0.07037672240622282,-0.025615357890567292,-0.02561535789065459,-0.025615357890625974,0.011214038831715826
2249,14.000000000000002,-80.0,16.000000000000007,-0.12059633666261067,-0.11075057512869549,-0.10233311241581067,-0.1023331124159795,-0.10233311241590841,-0.037113737007035574
2250,22.0,-80.0,16.000000000000007,-0.1974891731012695,-0.19466682197958035,-0.09373357304950758,-0.09373357304951743,-0.09373357304950561,-0.07858248832937895
2251,30.000000000000004,-80.0,16.000000000000007,-0.2232993052448159,-0.21752473457647195,-0.03282397788631869,-0.03282397788629974,-0.03282397788630606,-0.06418956347271941
2252,38.0,-80.0,16.000000000000007,-0.20221212409644532,-0.19837565411543245,-0.006074678610114365,-0.0060746786101095376,-0.006074678610110503,-0.04960654980757644
2253,46.000000000000014,-80.0,16.000000000000007,-0.14159611177196216,-0.1503644052950938,-0.01545366470522782,-0.015453664705212335,-0.01545366470522008,-0.06468693436305945
2254,-50.000000000000014,-72.0,16.000000000000007,0.1735003879064154,0.1619841830190522,0.10836365583058849,0.10836365583048692,0.10836365583052265,0.05226513854086534
