source_index,original_4mm_grid_index,mni_x_mm,mni_y_mm,mni_z_mm,rest_beta_power,hold_beta_power,hold_vs_rest_db,rest_vs_hold_erd_db
46,7616,-10.0,-80.0,-56.0,1.0287107269840589e-24,1.146907933658088e-24,0.47235288444344875,-0.47235288444344875
47,7622,14.000000000000002,-80.0,-56.0,1.0337846206609098e-24,1.2363787711197984e-24,0.7772147253263723,-0.7772147253263723
48,7624,22.0,-80.0,-56.0,9.712247270598557e-25,1.159310415164073e-24,0.7688000668786672,-0.7688000668786672
49,7626,30.000000000000004,-80.0,-56.0,8.770078158276707e-25,1.0237370642071274e-24,0.6718496333801011,-0.6718496333801011
50,7684,-42.0,-72.0,-56.0,1.000048617731487e-24,1.165730059505632e-24,0.6657688142964375,-0.6657688142964375
51,7686,-34.0,-72.0,-56.0,1.2157332677414414e-24,1.445141120624589e-24,0.7507195775611252,-0.7507195775611252
52,7688,-26.000000000000007,-72.0,-56.0,1.2481153028569665e-24,1.5070849434760188e-24,0.8188302303485001,-0.8188302303485001
53,7690,-18.0,-72.0,-56.0,1.1992391837779683e-24,1.4667380552781666e-24,0.8744674997387318,-0.8744674997387318
54,7692,-10.0,-72.0,-56.0,1.1088506391763065e-24,1.3216576959664225e-24,0.7624593803335624,-0.7624593803335624
55,7694,-2.0,-72.0,-56.0,1.1478009882788592e-24,1.3026719434923005e-24,0.5496846521098233,-0.5496846521098233
56,7696,6.000000000000001,-72.0,-56.0,1.158744549170196e-24,1.3369819809733299e-24,0.6213784994520308,-0.6213784994520308
57,7698,14.000000000000002,-72.0,-56.0,1.1196641526253063e-24,1.3089465385481896e-24,0.6783413499552307,-0.6783413499552307
58,7700,22.0,-72.0,-56.0,1.0242902325711481e-24,1.2121235302275203e-24,0.7312385061972855,-0.7312385061972855
59,7702,30.000000000000004,-72.0,-56.0,9.367181682739628e-25,1.1215855769159621e-24,0.7822347208442906,-0.7822347208442906
60,7704,38.0,-72.0,-56.0,8.954010992105364e-25,1.0767295374757834e-24,0.800890038414992,-0.800890038414992
61,7760,-42.0,-64.0,-56.0,1.1494410377349549e-24,1.3662444448448256e-24,0.7504171071442276,-0.7504171071442276
62,7762,-34.0,-64.0,-56.0,1.2618607100001707e-24,1.5205458760085321e-24,0.8098810954003999,-0.8098810954003999
63,7764,-26.000000000000007,-64.0,-56.0,1.326352819333146e-24,1.6103567905219365e-24,0.8426304406948271,-0.8426304406948271
64,7766,-18.0,-64.0,-56.0,1.3213992778846178e-24,1.6048840721331185e-24,0.8440960172458929,-0.8440960172458929
65,7768,-10.0,-64.0,-56.0,1.2467028958888628e-24,1.4939160274952334e-24,0.7856321834788673,-0.7856321834788673
66,7770,-2.0,-64.0,-56.0,1.1972999612404031e-24,1.3804094429446194e-24,0.6180495305631837,-0.6180495305631837
67,7772,6.000000000000001,-64.0,-56.0,1.18815503116497e-24,1.3599899002004048e-24,0.5866257180592529,-0.5866257180592529
