method,eeg_snr_db,meg_snr_db,scenario,aggregation,case_count,scenario_count,auc,auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,deep_score,deep_peak_distance_mm,active_count,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized,deep_sensitivity,deep_specificity,deep_balanced_accuracy
LCMV,5,5,deep_only,case_weighted_within_scenario,15,1,1.0,1.0,1.7163122127759167,nan,nan,2.5389279780450336,0.0,1.0,0.0,1405.6,nan,nan,2.5389279780450336,0.0,1.0,nan,nan
LCMV,5,5,deep_plus_surface,case_weighted_within_scenario,68,1,0.8372982140577824,0.6870120275955377,1.9532557539289859,58.679364391662645,48.897726763753106,17.130425609565357,5.050929839337625,0.7686160454884081,0.37735851126598086,1483.3823529411766,58.679364391662645,48.897726763753106,17.130425609565357,5.050929839337625,0.7794117647058824,nan,nan
LCMV,5,5,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.8092747015668036,0.6766781749322648,1.9468448225933888,40.578302939357165,37.265835954431054,18.32098140334666,8.092564166579443,0.5945815095539579,0.0,1412.7058823529412,40.578302939357165,37.265835954431054,18.32098140334666,8.092564166579443,0.6764705882352942,nan,nan
LCMV,5,5,surface_only,case_weighted_within_scenario,68,1,0.5907437782408058,0.6703847951416535,1.9804280785736883,57.48148370088498,49.8011273348955,nan,nan,0.0,nan,1481.2941176470588,57.48148370088498,49.8011273348955,nan,nan,nan,1.0,nan
LCMV,5,10,deep_only,case_weighted_within_scenario,15,1,1.0,1.0,1.5849854889156734,nan,nan,0.0,0.0,1.0,0.0,1064.8,nan,nan,0.0,0.0,1.0,nan,nan
LCMV,5,10,deep_plus_surface,case_weighted_within_scenario,68,1,0.8350624296590299,0.6898902264959811,1.9428209549558986,57.45953280385937,50.45512052573435,14.545151786212443,2.7541062127122307,0.9366641683049546,0.8830950440936229,1231.9117647058824,57.45953280385937,50.45512052573435,14.545151786212443,2.7541062127122307,0.9411764705882353,nan,nan
LCMV,5,10,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.8084978793017716,0.6785925417992669,1.9387813734111732,40.26702979954286,40.77634454724857,15.871658511234795,5.74134054345776,0.8578164811878782,1.0346101662413274,1196.2941176470588,40.26702979954286,40.77634454724857,15.871658511234795,5.74134054345776,0.9411764705882353,nan,nan
LCMV,5,10,surface_only,case_weighted_within_scenario,68,1,0.5839253660717076,0.6705739514523728,1.984050818197999,56.8310703936423,48.352108429263055,nan,nan,0.12644283933759587,nan,1272.4264705882354,56.8310703936423,48.352108429263055,nan,nan,nan,0.7352941176470589,nan
LCMV,5,15,deep_only,case_weighted_within_scenario,15,1,1.0,1.0,1.3755703393001633,nan,nan,0.0,0.0,1.0,0.0,787.8,nan,nan,0.0,0.0,1.0,nan,nan
LCMV,5,15,deep_plus_surface,case_weighted_within_scenario,68,1,0.8356782765632669,0.6920402890178297,1.9231809471999748,56.515567722645635,51.96813627456589,10.692738655588343,1.5419531533592226,0.9633947398993524,1.3198075893523338,911.0735294117648,56.515567722645635,51.96813627456589,10.692738655588343,1.5419531533592226,0.9411764705882353,nan,nan
