method,eeg_snr_db,meg_snr_db,aggregation,case_count,scenario_count,auc,auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,deep_score,deep_peak_distance_mm,active_count,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized,deep_sensitivity,deep_specificity,deep_balanced_accuracy
LCMV,-5,20,case_weighted,185,4,0.7479449920171028,0.7107187592692092,1.867605182580568,52.538579033594225,48.63369330039009,6.674589122696379,1.067118060321887,0.6604599254980552,0.9108422359268434,462.9891891891892,52.538579033594225,48.63369330039009,6.674589122696379,1.067118060321887,0.9658119658119658,0.014705882352941176,0.4902589240824535
LCMV,0,-10,case_weighted,185,4,0.7512164703874881,0.6996694488799812,1.9585086400331528,57.948460436270935,55.29907849758396,20.071865588447018,11.836063955994653,0.07027027027027027,0.0,1845.535135135135,57.948460436270935,55.29907849758396,20.071865588447018,11.836063955994653,0.1111111111111111,1.0,0.5555555555555556
LCMV,0,-5,case_weighted,185,4,0.7468906049082141,0.6977492715962821,1.9580951842164978,57.0688034596771,50.81241022629985,19.45009895282008,11.064864806469288,0.14594594594594595,0.8941531883929725,1779.5405405405406,57.0688034596771,50.81241022629985,19.45009895282008,11.064864806469288,0.2222222222222222,1.0,0.6111111111111112
LCMV,0,0,case_weighted,185,4,0.7441548533348431,0.701396037115123,1.9557028501456493,55.74983472626875,48.601078277142776,18.08623230306978,9.457056329011923,0.21823926709887412,0.5888325787063684,1607.535135135135,55.74983472626875,48.601078277142776,18.08623230306978,9.457056329011923,0.3418803418803419,1.0,0.670940170940171
LCMV,0,5,case_weighted,185,4,0.7407760760564749,0.7042756658864133,1.9506736807680491,54.44237748409479,47.11303859874528,16.068917674475838,7.146955373527452,0.4143326484661364,0.1250000023612417,1314.2864864864864,54.44237748409479,47.11303859874528,16.068917674475838,7.146955373527452,0.6837606837606838,1.0,0.8418803418803419
LCMV,0,10,case_weighted,185,4,0.7423427003005618,0.7078141814455328,1.9367891698449493,53.37130748234004,49.973528846986966,13.412931830274546,3.806923833131201,0.5998432449183937,0.9430844510922111,950.7135135135135,53.37130748234004,49.973528846986966,13.412931830274546,3.806923833131201,0.9316239316239316,0.7205882352941176,0.8261060834590246
LCMV,0,15,case_weighted,185,4,0.7458228736396265,0.7095475239698562,1.9091352838170512,52.89560687488553,47.895572078837155,9.906983848088169,2.1873184149623146,0.6836883165863754,1.5829536491088247,702.8594594594595,52.89560687488553,47.895572078837155,9.906983848088169,2.1873184149623146,0.9487179487179487,0.16176470588235295,0.5552413273001509
LCMV,0,20,case_weighted,185,4,0.7484727023894582,0.7096921471122146,1.8653987211230927,52.55167529674044,49.70373382523718,6.607764640668676,1.1672525033285213,0.6859783610051639,0.9609094633656982,531.3027027027027,52.55167529674044,49.70373382523718,6.607764640668676,1.1672525033285213,0.9743589743589743,0.0,0.48717948717948717
LCMV,5,-10,case_weighted,185,4,0.7582610860595309,0.7044740712775104,1.9541589588437243,56.93493635532742,50.836430767818705,18.946011986518158,9.81389995900758,0.18501332704279935,0.689775306484603,1537.345945945946,56.93493635532742,50.836430767818705,18.946011986518158,9.81389995900758,0.2905982905982906,1.0,0.6452991452991453
LCMV,5,-5,case_weighted,185,4,0.7590507654080084,0.7036192854787808,1.952183012503312,56.40282965526026,50.544781697715926,18.375744624806476,9.34660713185717,0.23225593319404708,0.22727273973973852,1596.5135135135135,56.40282965526026,50.544781697715926,18.375744624806476,9.34660713185717,0.37606837606837606,1.0,0.688034188034188
LCMV,5,0,case_weighted,185,4,0.7572886272399167,0.7036344118529527,1.9492920328259713,55.54551023596109,47.337717270627294,17.365785939743294,7.845171504204039,0.3309758471820023,0.3174603348745553,1574.5243243243244,55.54551023596109,47.337717270627294,17.365785939743294,7.845171504204039,0.5384615384615384,1.0,0.7692307692307692
